"eye_tracker","trial_condition","n","mean","median","sd","min","max","q25","q75"
"EyeLink 1000 Plus","bright",72,0.296606278446115,0.259444423833128,0.136499867000089,0.0941832252802221,0.619894669318977,0.188762898572188,0.37828112043847
"EyeLink 1000 Plus","dark",72,0.886946846217369,0.75647492132517,0.554957421970738,0.163979613239678,3.28493255717983,0.475368753253973,1.13422375377369
"Pupil Core","bright",72,1.78909373361761,1.67011326095674,0.765883624338728,0.710575013264056,3.71932412919946,1.10721524480069,2.27262634233565
"Pupil Core","dark",72,3.01999691015382,2.5409993017723,1.6738720716294,0.57560418378632,7.30461577869618,1.7190056355187,4.09439801647977
"Pupil Neon","bright",72,1.36339481385014,1.17064075143385,0.67281970443626,0.335484061287121,3.66525209120518,0.901068842211636,1.77995091642806
"Pupil Neon","dark",72,1.41142215368627,1.2276710762731,0.846479544152752,0.301562323297552,3.80689842697018,0.813611526604016,1.72977238316116
"SMI ETG","bright",72,1.46671784287411,0.86322142861799,1.40885693317011,0.163258529509133,7.36945906678661,0.568517570163455,1.75602361774061
"SMI ETG","dark",72,2.45896095020095,2.14453780754174,1.68872194645677,0.246628923816928,9.75402398884367,1.42683708322103,3.16084345456757
"Tobii Glasses 2","bright",18,0.814721272430705,0.926691325974452,0.38339207944973,0.148178971677893,1.45788716608538,0.495460872650019,1.02273725305672
"Tobii Glasses 2","dark",18,1.8808710653165,1.71663614111942,0.981044142224129,0.75514776869522,4.67350939304744,1.18683154166573,2.07142506862938
