"eye_tracker","trial_condition","n","mean","median","sd","min","max","q25","q75"
"EyeLink 1000 Plus","bright",24,3.0934563521808,3.08999455188347,0.526900876125764,2.14717119821212,4.0133718947951,2.7190324261253,3.48508166835121
"EyeLink 1000 Plus","dark",24,5.80633146151705,5.91112715384114,0.908675574310866,3.42533185829263,7.27209099594473,5.4562403732004,6.2555506807848
"Pupil Core","bright",24,2.645747354991,2.67232208113123,0.525017458568008,1.71483991682401,3.55524018370088,2.17727853161869,3.08467629806009
"Pupil Core","dark",24,4.73695852298855,4.79893212144591,0.863875994183873,2.58513914363366,6.42343730268693,4.16514059812231,5.34001561154598
"Pupil Neon","bright",24,3.37786045245418,3.30446194864932,0.507944758157518,2.58741740238621,4.18786765065104,2.93924069045193,3.87289528970575
"Pupil Neon","dark",24,5.4329998324838,5.66756597346116,0.694912700170442,3.62432470123824,6.48203289570916,4.96384518156559,5.94927569492681
"SMI ETG","bright",23,2.592950023117,2.57459064327485,0.386418743219044,2.03537313432836,3.45562682215743,2.31749028916703,2.82454606226523
"SMI ETG","dark",23,4.63679819150555,4.65774193548387,0.622814784304101,3.0909880239521,5.70327485380117,4.42742169928025,5.06041693082558
"Tobii Glasses 2","bright",6,2.6755146819469,2.60060097170167,0.3065500924374,2.29660792951542,3.17119371727749,2.5233980989485,2.8149657630162
"Tobii Glasses 2","dark",6,4.65222252896415,4.682061187627,1.03149368349537,3.2409381663113,5.8774427480916,3.96315648650715,5.45099802040234
