"eye_tracker","trial_condition","n","mean","median","sd","min","max","q25","q75"
"EyeLink 1000 Plus","bright",24,0.00916683694624206,0.00774684391461148,0.0056841273775068,0.00261633077306331,0.0279899384928129,0.00528989880172154,0.0119832735060756
"EyeLink 1000 Plus","dark",24,0.0121082731461548,0.00777354209108502,0.0104446939413251,0.00287565298109596,0.0434933830126667,0.00580981189485188,0.0149303636535602
"Pupil Core","bright",24,0.370599087382004,0.305177544328564,0.184640779209492,0.181101439599275,0.880089464645858,0.239585507470655,0.450651748633239
"Pupil Core","dark",24,0.283831274191001,0.203560109395191,0.283265738807923,0.105422449173689,1.51009756203986,0.151422443517543,0.292564534379968
"Pupil Neon","bright",24,0.200099439929611,0.187652916867995,0.0580614952618743,0.134558666608865,0.365575314736677,0.156197611655808,0.221769901074669
"Pupil Neon","dark",24,0.194560518932065,0.191484985056978,0.0495671572635743,0.129595757543241,0.308854576911898,0.152033556979437,0.23279222297159
"SMI ETG","bright",24,0.127116584844324,0.109958143937394,0.0408546264253117,0.0818620963281274,0.239607850574795,0.100628357979072,0.146473251573415
"SMI ETG","dark",24,0.287923258839421,0.185456514314597,0.259374735082476,0.082572457003702,1.07334843178194,0.131597785960048,0.348644054676608
"Tobii Glasses 2","bright",6,0.0712427696881542,0.0587585218499463,0.0417519256958847,0.0403883543590106,0.152508363804821,0.0467159752957682,0.0704454278281057
"Tobii Glasses 2","dark",6,0.210742513027375,0.140970530374201,0.209961530798193,0.0722355881276593,0.620839202116552,0.0787910714879158,0.208773614077914
