"eye_tracker","trial_condition","n","mean","median","sd","min","max","q25","q75"
"EyeLink 1000 Plus","bright",24,0.0911461252619676,0.0776412353249169,0.0422341766759395,0.0536395433430248,0.223079430488974,0.0672561299030403,0.0977456470017027
"EyeLink 1000 Plus","dark",24,0.123853377785701,0.116541267051188,0.0396599617902398,0.0679389768760188,0.236630191653259,0.103091812198589,0.1309273378313
"Pupil Core","bright",24,0.695375202995531,0.630045865087201,0.264075418285044,0.389163875276234,1.48298021003126,0.504120447936172,0.812407462351947
"Pupil Core","dark",24,0.60272286312325,0.552410475191012,0.265334367021444,0.31796637786798,1.40569025463602,0.379498700563733,0.714752038424375
"Pupil Neon","bright",24,0.225142452993741,0.209000377669745,0.0456990158189941,0.148327892393783,0.307562933881735,0.1975542974737,0.268600375750279
"Pupil Neon","dark",24,0.243701987017144,0.213594156342721,0.122592102293599,0.126290245284104,0.749222538178858,0.181369975566335,0.248967295461748
"SMI ETG","bright",24,0.18174831807748,0.148580712522756,0.0825675514588433,0.0765321224754735,0.403576626557485,0.124547588049258,0.245688266597968
"SMI ETG","dark",24,0.284456124716435,0.197325673009306,0.274965372595865,0.091609511141085,1.27786020906986,0.155942201247235,0.316218896959555
"Tobii Glasses 2","bright",6,0.159400274217136,0.137216563050042,0.076316073355973,0.0871282783904196,0.270720112867908,0.0985793347917297,0.213119042691595
"Tobii Glasses 2","dark",6,0.453407619598216,0.273487772737702,0.435570084003444,0.210063161457015,1.33667778628446,0.26362672152785,0.34316408312031
