eye_tracker,participant_id,trial_number,trial_condition,target_x,target_y,gaze_x,gaze_y,gaze_angle_x,gaze_angle_y,target_angle_x,target_angle_y,pup_diam_l,pup_diam_r
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,984.1,546.4,0.35131195335277005,0.09384164222873867,0,0,6.138995191001682,5.91947659270753
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,983.95,545.45,0.34912536443148756,0.07991202346041122,0,0,6.138995191001682,5.91947659270753
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,984.0,544.1,0.34985422740524785,0.06020558002936891,0,0,6.140546029776201,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,984.1,543.0,0.35131195335277005,0.04405286343612335,0,0,6.1467454720717205,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,983.9,542.7,0.34839650145772566,0.03964757709251168,0,0,6.166850618508162,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,983.6,543.65,0.3440233236151607,0.053519061583577374,0,0,6.180731255193099,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,983.3,544.2,0.3396501457725941,0.06158357771261064,0,0,6.1899677205032155,5.91947659270753
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.8,544.1,0.33236151603498476,0.06011730205278625,0,0,6.1915057917707115,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.4,544.05,0.32653061224489766,0.05938416422287323,0,0,6.182271624377187,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.95,543.65,0.31997084548105026,0.053519061583577374,0,0,6.176107842561155,5.922692825812371
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.75,543.25,0.3170553935860059,0.047653958944281524,0,0,6.16530639646855,5.922692825812371
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.75,542.9,0.3170553935860059,0.042521994134897025,0,0,6.156032929605324,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.75,542.5,0.3170553935860059,0.03665689149560117,0,0,6.148294355924469,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.9,542.55,0.3192419825072883,0.037390029325512525,0,0,6.138995191001682,5.91947659270753
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.05,542.4,0.3214285714285708,0.03519061583577679,0,0,6.125019971985023,5.91947659270753
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.3,542.75,0.32507288629737546,0.04032258064516129,0,0,6.114128272828925,5.921084927635377
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.6,543.65,0.32944606413994204,0.053519061583577374,0,0,6.120354474312737,5.922692825812371
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.55,544.4,0.32871720116618014,0.06451612903225773,0,0,6.142096476974189,5.925907313335764
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,982.05,543.85,0.3214285714285708,0.05645161290322614,0,0,6.162216791465474,5.927513903391942
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.65,541.6,0.3155976676384837,0.023460410557185084,0,0,6.1730236436958865,5.929120058116826
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.25,538.65,0.3097667638483965,-0.01982378854625584,0,0,6.16530639646855,5.930725777864102
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.2,537.05,0.3090379008746363,-0.04331864904552196,0,0,6.152938668073016,5.930725777864102
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.25,536.4,0.3097667638483965,-0.05286343612334836,0,0,6.138995191001682,5.929120058116826
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.2,538.25,0.3090379008746363,-0.025697503671071955,0,0,6.125019971985023,5.927513903391942
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.4,540.1,0.311953352769679,0.0014684287812044457,0,0,6.117242165708578,5.927513903391942
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.45,540.8,0.3126822157434409,0.011730205278591707,0,0,6.1125707315292095,5.925907313335764
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,981.05,540.8,0.30685131195335213,0.011730205278591707,0,0,6.121910035266644,5.924300287594123
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,980.55,541.25,0.2995626822157428,0.018328445747800584,0,0,6.145196197826047,5.922692825812371
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,980.05,542.45,0.2922740524781335,0.03592375366568981,0,0,6.16530639646855,5.917867820672736
EyeLink 1000 Plus,141,1,dilated,960.0,540.0,979.75,543.85,0.2879008746355685,0.05645161290322614,0,0,6.1791905020206634,5.914648963855497
