segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,2420,dark,622,398,476,343,768,336,478,459,772,453
1,2421,dark,622,398,476,343,768,336,478,459,772,453
1,2422,dark,622,398,476,343,768,336,478,459,772,453
1,2423,dark,622,398,476,343,768,336,478,459,772,453
1,2424,dark,622,398,476,343,768,336,478,459,772,453
1,2425,dark,622,397,476,343,768,336,478,459,772,453
1,2426,dark,622,398,476,343,768,336,478,459,772,453
1,2427,dark,622,398,476,343,768,336,478,459,772,453
1,2428,dark,622,397,476,343,768,336,478,459,772,452
1,2429,dark,622,397,476,343,768,336,478,459,772,453
1,2430,dark,622,398,476,343,768,336,478,459,772,453
1,2431,dark,622,398,476,343,768,336,478,459,772,453
1,2432,dark,622,398,476,343,768,336,478,459,772,453
1,2433,dark,622,398,476,343,768,336,478,459,772,453
1,2434,dark,622,398,476,343,768,336,478,459,772,452
1,2435,dark,622,398,476,343,768,336,478,459,772,452
1,2436,dark,622,397,476,343,768,336,478,459,772,452
1,2437,dark,622,397,476,343,768,335,478,459,772,452
1,2438,dark,622,397,476,343,768,335,478,459,772,452
1,2439,dark,622,397,476,343,768,335,478,459,772,452
1,2440,dark,622,397,476,343,768,335,478,459,772,452
1,2441,dark,621,397,476,343,768,335,478,459,772,452
1,2442,dark,622,397,476,343,768,335,478,459,772,452
1,2443,dark,622,397,476,343,768,335,478,459,772,452
1,2444,dark,622,397,476,342,768,335,478,459,772,452
1,2445,dark,622,397,476,343,768,335,478,459,772,452
1,2446,dark,622,397,476,343,768,335,478,459,772,452
1,2447,dark,622,397,476,343,768,335,478,459,772,452
1,2448,dark,622,397,476,343,768,335,478,459,772,452
1,2449,dark,622,397,476,343,768,335,478,459,772,452
1,2450,dark,622,397,476,343,767,335,478,459,772,452
1,2451,dark,622,398,476,343,767,335,477,459,772,452
1,2452,dark,622,397,476,343,767,336,477,459,771,452
1,2453,dark,621,398,476,343,767,336,477,459,771,452
1,2454,dark,621,398,476,343,767,336,477,459,771,453
1,2455,dark,621,398,476,343,767,336,477,459,771,453
1,2456,dark,621,398,476,343,767,336,477,459,771,453
1,2457,dark,621,398,476,343,767,336,477,459,771,453
1,2458,dark,621,398,476,343,767,336,477,460,771,453
1,2459,dark,621,398,476,343,767,336,477,459,771,453
1,2460,dark,621,398,476,343,767,336,477,459,771,453
1,2461,dark,621,398,476,343,767,336,477,459,771,453
1,2462,dark,621,398,476,344,767,336,477,460,771,453
1,2463,dark,621,399,476,344,767,336,478,460,772,453
1,2464,dark,621,398,476,344,767,336,478,460,772,453
1,2465,dark,621,399,476,344,767,336,478,460,772,453
1,2466,dark,622,398,476,344,767,336,478,460,772,453
1,2467,dark,622,399,476,344,767,337,478,460,772,453
1,2468,dark,622,399,476,344,768,337,478,460,772,454
1,2469,dark,622,399,476,344,768,337,478,460,772,454
1,2470,dark,622,399,476,344,768,337,478,460,772,454
1,2471,dark,622,399,476,344,768,337,478,460,772,454
1,2472,dark,622,399,476,344,768,337,478,460,772,454
1,2473,dark,622,399,476,344,767,337,478,460,772,454
1,2474,dark,622,399,476,344,767,337,478,460,772,454
1,2475,dark,622,400,476,344,768,337,478,460,772,454
1,2476,dark,622,399,476,345,768,338,478,461,772,454
1,2477,dark,622,400,476,345,768,338,478,461,772,455
1,2478,dark,622,400,476,345,768,338,478,461,772,455
1,2479,dark,622,400,476,346,768,338,478,461,772,455
1,2480,dark,622,400,477,346,768,338,478,461,772,455
1,2481,dark,622,401,477,346,768,339,478,462,772,456
1,2482,dark,622,401,477,346,768,339,478,462,772,456
1,2483,dark,622,401,477,346,768,339,479,462,772,456
1,2484,dark,623,401,477,346,769,340,479,462,773,456
1,2485,dark,623,402,477,347,769,340,479,462,773,456
1,2486,dark,623,402,477,347,769,340,479,462,773,457
1,2487,dark,623,402,478,347,769,340,479,463,773,457
1,2488,dark,623,402,478,347,769,340,479,462,773,457
1,2489,dark,623,402,478,347,769,340,479,463,773,457
1,2490,dark,623,402,478,347,769,340,479,463,773,458
1,2491,dark,624,403,478,347,770,341,480,463,773,458
1,2492,dark,624,403,478,348,770,341,480,463,774,458
1,2493,dark,624,403,478,347,770,341,480,463,774,458
1,2494,dark,624,403,479,347,770,341,480,463,774,458
1,2495,dark,624,403,479,347,770,341,480,463,774,458
1,2496,dark,624,403,479,348,770,341,480,463,774,458
1,2497,dark,624,403,479,347,770,341,480,463,774,458
1,2498,dark,624,403,479,348,770,341,480,464,774,458
1,2499,dark,624,403,479,348,770,341,480,464,774,458
1,2500,dark,625,403,479,348,770,341,480,464,774,458
1,2501,dark,624,403,479,348,771,342,480,464,774,458
1,2502,dark,625,403,479,348,771,342,480,464,774,458
1,2503,dark,624,403,479,348,771,342,481,464,774,458
1,2504,dark,624,403,479,348,771,342,480,464,774,458
1,2505,dark,624,403,479,348,771,342,480,464,774,459
1,2506,dark,624,404,479,348,771,342,480,464,774,459
1,2507,dark,624,404,479,348,771,342,480,464,774,459
1,2508,dark,625,404,479,349,771,342,480,464,774,459
1,2509,dark,625,404,479,349,771,342,480,464,774,459
1,2510,dark,625,404,479,349,771,343,480,465,774,459
1,2511,dark,625,404,479,349,771,343,480,465,774,459
1,2512,dark,625,404,479,348,770,343,480,465,774,459
1,2513,dark,625,404,479,349,771,343,480,465,774,459
1,2514,dark,625,404,479,349,770,343,480,465,774,460
1,2515,dark,625,404,479,349,771,343,480,465,774,460
1,2516,dark,624,404,479,349,770,343,480,465,774,460
1,2517,dark,625,405,479,349,770,343,480,465,774,460
1,2518,dark,624,405,479,349,770,343,480,465,774,460
1,2519,dark,624,405,479,349,770,343,480,465,774,460
1,2520,dark,625,405,479,349,770,343,480,465,774,460
1,2521,dark,624,405,479,349,770,343,480,465,774,460
1,2522,dark,624,405,479,349,770,343,480,465,774,460
1,2523,dark,624,405,479,350,770,343,480,465,774,460
1,2524,dark,624,405,479,350,770,344,480,465,774,460
1,2525,dark,624,405,479,350,770,344,480,465,774,460
1,2526,dark,624,405,479,350,770,344,480,465,774,460
1,2527,dark,624,405,479,350,770,344,480,465,774,460
1,2528,dark,624,405,479,350,770,344,480,466,774,460
1,2529,dark,624,406,479,350,770,344,480,466,774,461
1,2530,dark,625,406,479,350,771,344,480,466,774,461
1,2531,dark,624,406,479,350,770,344,480,466,774,461
1,2532,dark,624,406,479,350,770,344,480,466,774,461
1,2533,dark,624,406,479,350,770,344,480,466,774,461
1,2534,dark,624,405,479,350,770,344,480,466,774,461
1,2535,dark,624,406,479,350,770,344,480,466,774,461
1,2536,dark,624,406,479,350,770,344,480,466,774,461
1,2537,dark,624,406,479,350,770,344,480,466,774,461
1,2538,dark,625,406,479,350,771,344,480,466,774,461
1,2539,dark,625,406,479,350,771,344,480,466,774,461
1,2540,dark,625,406,479,350,770,344,480,466,774,461
1,2541,dark,625,406,479,350,770,344,480,466,774,461
1,2542,dark,625,406,479,351,770,344,480,466,774,461
1,2543,dark,625,406,479,351,771,344,480,466,774,461
1,2544,dark,625,406,479,351,770,345,480,466,774,461
1,2545,dark,625,406,479,351,770,345,480,467,774,461
1,2546,dark,625,406,479,351,770,345,480,467,774,462
1,2547,dark,625,406,479,351,770,345,480,467,774,461
1,2548,dark,625,406,479,351,770,345,480,467,774,461
1,2549,dark,625,406,479,351,771,345,480,467,774,462
1,2550,dark,625,406,479,351,771,345,480,467,774,462
1,2551,dark,625,406,479,351,771,345,480,467,774,462
1,2552,dark,624,406,479,351,771,345,480,467,774,462
1,2553,dark,625,406,479,351,770,345,480,467,774,462
1,2554,dark,624,406,479,351,771,345,480,467,774,462
1,2555,dark,624,406,479,351,770,345,480,467,774,462
1,2556,dark,624,406,479,351,770,345,480,467,774,462
1,2557,dark,624,406,479,351,770,345,480,467,774,462
1,2558,dark,624,406,479,351,770,345,480,467,774,462
1,2559,dark,625,407,479,351,770,345,480,467,774,462
1,2560,dark,625,407,479,351,770,345,480,467,774,462
1,2561,dark,625,406,479,351,770,345,480,467,774,461
1,2562,dark,624,407,479,351,770,345,480,467,774,462
1,2563,dark,625,407,479,351,770,345,480,467,774,461
1,2564,dark,625,407,479,351,770,345,480,467,774,461
1,2565,dark,624,407,479,351,770,345,480,467,774,461
2,2975,bright,624,403,478,348,770,342,480,464,774,458
2,2976,bright,623,404,479,348,770,342,480,464,774,458
2,2977,bright,624,404,479,348,770,342,480,464,774,459
2,2978,bright,624,403,478,348,770,342,480,464,774,458
2,2979,bright,624,403,478,347,770,341,480,463,774,458
2,2980,bright,623,403,478,347,770,341,480,463,774,458
2,2981,bright,624,403,478,347,770,341,480,463,774,458
2,2982,bright,624,403,478,347,770,341,480,463,774,458
2,2983,bright,624,403,478,347,770,341,480,463,774,458
2,2984,bright,624,403,479,347,770,341,480,463,774,458
2,2985,bright,624,402,479,347,770,341,480,463,774,458
2,2986,bright,624,403,478,347,770,341,480,463,774,458
2,2987,bright,624,403,478,347,770,341,480,463,774,458
2,2988,bright,624,403,478,347,770,341,480,463,774,458
2,2989,bright,624,403,478,347,770,341,480,463,774,458
2,2990,bright,624,403,479,347,770,341,480,463,774,458
2,2991,bright,624,403,479,347,770,341,480,463,774,458
2,2992,bright,624,403,479,347,770,341,480,463,774,457
2,2993,bright,624,403,479,347,770,341,480,463,774,457
2,2994,bright,624,402,479,347,770,341,480,463,774,457
2,2995,bright,624,402,479,347,771,341,480,463,774,457
2,2996,bright,624,402,479,347,771,341,480,463,774,457
2,2997,bright,625,403,479,347,771,341,480,463,774,458
2,2998,bright,625,403,479,347,771,341,480,463,774,458
2,2999,bright,625,403,479,347,771,341,480,463,774,458
2,3000,bright,625,403,479,347,771,341,480,463,774,458
2,3001,bright,625,403,479,347,771,341,480,463,774,458
2,3002,bright,625,403,479,347,771,341,480,463,774,458
2,3003,bright,625,403,479,347,771,341,480,463,774,458
2,3004,bright,625,403,479,347,771,341,480,463,774,458
2,3005,bright,625,403,479,347,771,342,480,463,774,458
2,3006,bright,625,403,479,347,771,342,480,463,774,458
2,3007,bright,625,403,479,348,771,342,480,463,774,458
2,3008,bright,625,404,479,348,771,342,480,464,774,459
2,3009,bright,625,404,479,348,771,342,480,464,774,459
2,3010,bright,625,404,479,348,771,342,480,464,774,459
2,3011,bright,625,404,479,348,771,342,480,464,774,459
2,3012,bright,625,404,479,348,771,342,480,464,774,459
2,3013,bright,624,404,479,348,771,342,480,464,774,459
2,3014,bright,624,404,479,348,771,343,480,464,774,459
2,3015,bright,624,404,479,348,770,343,480,464,774,459
2,3016,bright,624,404,479,348,770,343,480,464,774,459
2,3017,bright,624,404,479,348,770,343,480,464,774,459
2,3018,bright,625,404,479,348,770,343,480,464,774,459
2,3019,bright,624,404,479,348,770,343,480,464,774,459
2,3020,bright,624,404,479,348,770,343,480,464,774,459
2,3021,bright,624,404,479,348,770,343,480,464,774,460
2,3022,bright,625,405,479,349,770,343,480,465,774,460
2,3023,bright,624,405,479,349,770,343,480,465,774,460
2,3024,bright,624,404,479,349,770,343,480,464,774,460
2,3025,bright,624,404,479,348,770,343,479,464,774,460
2,3026,bright,624,404,479,348,770,343,479,464,774,460
2,3027,bright,624,404,478,348,770,343,479,464,773,459
2,3028,bright,624,404,479,348,770,343,479,464,773,459
2,3029,bright,624,404,478,348,770,343,479,464,774,459
2,3030,bright,624,404,479,348,770,343,479,464,774,460
2,3031,bright,624,404,478,349,770,343,479,464,774,460
2,3032,bright,624,404,478,348,770,343,479,464,774,460
2,3033,bright,624,404,478,348,770,343,479,464,773,460
2,3034,bright,624,405,478,349,770,343,479,464,774,460
2,3035,bright,624,404,478,349,770,343,479,464,773,460
2,3036,bright,624,405,478,349,770,343,479,464,773,460
2,3037,bright,624,405,478,349,770,343,479,464,773,460
2,3038,bright,624,405,478,349,770,343,479,464,773,460
2,3039,bright,624,405,478,349,770,343,479,464,773,460
2,3040,bright,624,405,478,349,770,343,479,464,773,460
2,3041,bright,624,405,478,349,770,343,479,464,773,460
2,3042,bright,624,405,478,349,770,343,479,465,773,460
2,3043,bright,624,404,478,349,770,343,479,465,773,460
2,3044,bright,624,405,478,349,770,344,479,465,773,460
2,3045,bright,624,405,478,349,770,343,480,465,774,460
2,3046,bright,625,405,478,349,770,344,480,465,774,460
2,3047,bright,624,405,478,349,770,343,480,465,774,460
2,3048,bright,624,405,478,349,770,343,480,465,774,460
2,3049,bright,624,405,478,349,770,343,479,464,773,460
2,3050,bright,624,404,478,349,770,343,479,464,773,460
2,3051,bright,624,405,478,349,770,343,479,465,773,460
2,3052,bright,624,405,478,349,770,343,479,465,774,460
2,3053,bright,624,405,478,349,770,343,480,465,774,460
2,3054,bright,625,405,478,349,770,343,480,465,774,460
2,3055,bright,624,405,478,349,770,343,480,465,774,460
2,3056,bright,624,405,478,349,770,343,480,465,774,460
2,3057,bright,624,405,479,349,770,343,480,465,774,460
2,3058,bright,624,405,479,349,770,343,480,465,774,459
2,3059,bright,624,405,479,349,770,343,480,465,774,459
2,3060,bright,624,404,479,349,770,343,480,465,774,459
2,3061,bright,624,404,479,349,770,343,480,464,774,459
2,3062,bright,624,405,479,349,770,343,480,465,774,459
2,3063,bright,624,404,479,349,770,343,480,464,774,459
2,3064,bright,624,405,479,349,770,343,480,465,774,459
2,3065,bright,625,405,479,349,770,343,480,465,774,459
2,3066,bright,624,405,479,349,770,343,480,465,774,459
2,3067,bright,624,405,479,349,770,343,480,465,774,459
2,3068,bright,625,405,479,349,770,343,480,465,774,459
2,3069,bright,624,405,479,349,770,343,480,465,774,459
2,3070,bright,625,405,479,349,770,343,480,465,774,460
2,3071,bright,624,405,478,349,770,343,480,465,774,460
2,3072,bright,624,405,478,349,770,343,480,465,774,459
2,3073,bright,624,405,478,349,770,343,479,465,773,459
2,3074,bright,624,405,478,349,770,343,479,464,773,459
2,3075,bright,623,404,478,349,770,342,479,464,773,459
2,3076,bright,623,404,478,349,770,342,479,464,773,459
2,3077,bright,623,404,478,349,770,342,479,464,773,459
2,3078,bright,624,404,478,349,770,342,479,464,773,459
2,3079,bright,624,404,478,349,770,343,479,464,774,459
2,3080,bright,624,404,478,349,770,342,479,464,774,459
2,3081,bright,624,404,478,349,770,342,479,464,774,459
2,3082,bright,624,404,478,349,770,342,479,464,774,459
2,3083,bright,624,404,478,349,770,342,479,464,774,459
2,3084,bright,624,404,478,349,770,342,479,464,774,459
2,3085,bright,624,404,478,349,770,342,479,464,773,459
2,3086,bright,624,404,478,349,770,342,479,464,774,459
2,3087,bright,623,404,478,349,770,342,479,464,774,459
2,3088,bright,623,404,478,349,770,342,479,464,773,459
2,3089,bright,623,404,478,349,770,342,479,464,773,459
2,3090,bright,624,404,478,349,770,342,479,464,774,459
2,3091,bright,624,404,478,349,770,342,479,464,773,459
2,3092,bright,624,404,478,349,770,342,479,464,773,459
2,3093,bright,624,404,478,349,770,342,479,464,773,459
