frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	32.02700000	-1.94700000	-24.77100000	2.36000000	0.01800000	-0.22220000	0.97480000	-34.82900000	-0.16900000	-21.68300000	2.44000000	0.06020000	-0.21920000	0.97380000	592.57000000	549.42000000	64.00000000	58.00000000	66.00000000	60.00000000	548.18000000	621.53000000	654.60000000	618.77000000
1	32.02800000	-1.94700000	-24.77200000	2.36000000	0.01790000	-0.22040000	0.97530000	-34.82900000	-0.16900000	-21.68300000	2.42000000	0.06050000	-0.21840000	0.97400000	592.41000000	547.98000000	64.00000000	58.00000000	66.00000000	60.00000000	548.20000000	619.33000000	654.23000000	617.89000000
2	32.02900000	-1.94600000	-24.77300000	2.30000000	0.01870000	-0.22280000	0.97470000	-34.83000000	-0.16900000	-21.68400000	2.44000000	0.06100000	-0.22020000	0.97350000	591.66000000	550.42000000	64.00000000	58.00000000	66.00000000	60.00000000	547.34000000	622.25000000	653.61000000	620.02000000
3	32.03000000	-1.94600000	-24.77400000	2.28000000	0.01750000	-0.22230000	0.97480000	-34.83000000	-0.16800000	-21.68400000	2.42000000	0.06200000	-0.21980000	0.97360000	591.81000000	550.57000000	63.00000000	56.00000000	66.00000000	58.00000000	548.70000000	621.58000000	652.56000000	619.54000000
3	32.03100000	-1.94600000	-24.77500000	2.26000000	0.01780000	-0.22110000	0.97510000	-34.83000000	-0.16800000	-21.68400000	2.40000000	0.06170000	-0.21930000	0.97370000	591.77000000	549.33000000	62.00000000	56.00000000	64.00000000	58.00000000	548.32000000	620.14000000	652.84000000	618.93000000
4	32.03200000	-1.94500000	-24.77600000	2.26000000	0.01780000	-0.22160000	0.97500000	-34.83000000	-0.16800000	-21.68400000	2.38000000	0.06130000	-0.21860000	0.97390000	592.01000000	549.12000000	62.00000000	55.00000000	64.00000000	56.00000000	548.33000000	620.75000000	653.33000000	618.07000000
5	32.03300000	-1.94500000	-24.77600000	2.24000000	0.01890000	-0.22280000	0.97470000	-34.83100000	-0.16900000	-21.68400000	2.38000000	0.06080000	-0.21670000	0.97440000	591.70000000	548.47000000	62.00000000	55.00000000	64.00000000	56.00000000	547.15000000	622.27000000	653.95000000	615.78000000
5	32.03400000	-1.94500000	-24.77700000	2.24000000	0.01830000	-0.22120000	0.97510000	-34.83100000	-0.16900000	-21.68400000	2.38000000	0.06150000	-0.21730000	0.97420000	591.60000000	548.10000000	62.00000000	55.00000000	64.00000000	56.00000000	547.78000000	620.27000000	653.09000000	616.56000000
6	32.03500000	-1.94400000	-24.77800000	2.22000000	0.01800000	-0.22100000	0.97510000	-34.83100000	-0.16900000	-21.68500000	2.36000000	0.06170000	-0.21730000	0.97420000	591.70000000	548.12000000	62.00000000	55.00000000	64.00000000	56.00000000	548.11000000	620.05000000	652.95000000	616.57000000
7	32.03600000	-1.94400000	-24.77900000	2.22000000	0.01710000	-0.22090000	0.97520000	-34.83100000	-0.16900000	-21.68500000	2.34000000	0.06050000	-0.21760000	0.97420000	592.86000000	548.08000000	62.00000000	55.00000000	64.00000000	56.00000000	549.11000000	619.90000000	654.24000000	616.85000000
8	32.03700000	-1.94400000	-24.77900000	2.22000000	0.01760000	-0.22010000	0.97530000	-34.83200000	-0.16900000	-21.68500000	2.34000000	0.06120000	-0.21770000	0.97410000	592.19000000	547.73000000	62.00000000	55.00000000	64.00000000	56.00000000	548.53000000	618.99000000	653.47000000	617.05000000
9	32.03700000	-1.94400000	-24.78000000	2.22000000	0.01770000	-0.21920000	0.97550000	-34.83200000	-0.16900000	-21.68500000	2.34000000	0.06190000	-0.21770000	0.97410000	591.76000000	547.37000000	62.00000000	55.00000000	64.00000000	56.00000000	548.45000000	617.93000000	652.70000000	617.01000000
10	32.03700000	-1.94300000	-24.78100000	2.20000000	0.00990000	-0.22770000	0.97370000	-34.83200000	-0.16800000	-21.68600000	2.26000000	0.07680000	-0.22620000	0.97100000	587.57000000	565.53000000	60.00000000	55.00000000	62.00000000	56.00000000	557.48000000	627.90000000	635.44000000	627.38000000
10	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
11	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
12	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-34.83200000	-0.16800000	-21.68600000	2.58000000	0.05630000	-0.34550000	0.93670000	598.20000000	702.94000000	29.00000000	13.00000000	58.00000000	26.00000000	0.00000000	0.00000000	656.39000000	775.96000000
12	32.03700000	-1.94300000	-24.78100000	2.10000000	0.01700000	-0.21580000	0.97630000	-34.83200000	-0.16800000	-21.68600000	2.36000000	0.06500000	-0.20930000	0.97570000	590.35000000	541.91000000	61.00000000	49.00000000	62.00000000	56.00000000	549.15000000	613.76000000	649.29000000	606.99000000
13	32.03700000	-1.94300000	-24.78100000	2.22000000	0.01910000	-0.21170000	0.97720000	-34.83200000	-0.16700000	-21.68700000	2.36000000	0.06150000	-0.21600000	0.97450000	591.15000000	541.34000000	62.00000000	55.00000000	64.00000000	56.00000000	546.73000000	608.89000000	653.14000000	614.93000000
14	32.03800000	-1.94200000	-24.78100000	2.22000000	0.01990000	-0.21470000	0.97650000	-34.83200000	-0.16700000	-21.68700000	2.36000000	0.06080000	-0.21720000	0.97420000	591.08000000	543.26000000	62.00000000	54.00000000	64.00000000	56.00000000	545.85000000	612.49000000	653.89000000	616.39000000
15	32.03800000	-1.94200000	-24.78200000	2.24000000	0.02240000	-0.21670000	0.97600000	-34.83200000	-0.16700000	-21.68700000	2.40000000	0.06090000	-0.21990000	0.97360000	589.62000000	545.30000000	61.00000000	56.00000000	64.00000000	58.00000000	543.03000000	614.98000000	653.81000000	619.64000000
16	32.03800000	-1.94200000	-24.78200000	2.24000000	0.02340000	-0.21870000	0.97550000	-34.83200000	-0.16700000	-21.68800000	2.40000000	0.06040000	-0.22000000	0.97360000	589.32000000	546.00000000	62.00000000	56.00000000	66.00000000	58.00000000	541.87000000	617.45000000	654.39000000	619.77000000
17	32.03800000	-1.94100000	-24.78200000	2.24000000	0.02220000	-0.22040000	0.97520000	-34.83300000	-0.16600000	-21.68800000	2.40000000	0.06280000	-0.21860000	0.97380000	588.61000000	547.45000000	61.00000000	56.00000000	64.00000000	58.00000000	543.30000000	619.40000000	651.60000000	618.16000000
