segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,403,dark,576,643,376,550,783,574,358,717,779,738
1,404,dark,576,643,377,550,783,574,359,718,780,739
1,405,dark,577,643,377,551,784,575,359,717,780,739
1,406,dark,577,643,377,551,784,574,359,718,780,739
1,407,dark,577,643,377,550,783,574,359,716,780,739
1,408,dark,576,643,377,549,782,573,359,717,779,739
1,409,dark,575,643,377,550,783,574,358,717,780,739
1,410,dark,576,643,377,550,782,575,358,717,779,739
1,411,dark,576,643,377,550,782,575,358,717,780,739
1,412,dark,576,643,377,550,783,574,358,717,780,739
1,413,dark,576,643,376,550,783,574,359,718,780,739
1,414,dark,576,643,376,550,783,574,359,717,779,739
1,415,dark,576,644,377,550,783,574,359,717,779,740
1,416,dark,576,644,377,551,782,574,359,718,780,740
1,417,dark,576,643,377,550,782,574,359,718,779,739
1,418,dark,576,643,376,550,782,575,358,718,778,740
1,419,dark,576,643,376,551,782,575,359,718,780,739
1,420,dark,576,644,376,551,782,575,358,718,779,739
1,421,dark,576,643,377,552,783,575,358,718,779,740
1,422,dark,576,644,376,552,783,575,359,718,779,740
1,423,dark,575,645,376,552,782,575,359,718,780,740
1,424,dark,576,645,376,552,782,575,358,718,780,740
1,425,dark,576,644,376,551,782,576,358,718,780,740
1,426,dark,576,645,376,552,782,575,358,718,780,740
1,427,dark,576,645,377,551,782,575,359,719,780,740
1,428,dark,576,645,376,552,782,575,358,719,779,740
1,429,dark,576,645,376,552,781,575,358,719,779,741
1,430,dark,576,645,376,552,782,576,358,719,779,741
1,431,dark,575,645,376,552,781,576,358,720,779,741
1,432,dark,576,645,377,553,782,576,358,720,780,742
1,433,dark,576,645,376,553,782,577,359,719,779,742
1,434,dark,576,645,376,553,782,576,358,720,779,742
1,435,dark,576,645,376,552,781,576,358,719,779,741
1,436,dark,575,646,376,553,782,576,358,720,779,741
1,437,dark,575,645,376,553,782,577,358,720,779,741
1,438,dark,576,646,376,553,782,578,359,720,779,742
1,439,dark,576,646,376,553,782,577,358,721,780,742
1,440,dark,576,646,376,553,782,577,358,721,780,742
1,441,dark,576,646,376,553,782,578,358,721,780,742
1,442,dark,576,646,376,553,782,578,358,721,780,742
1,443,dark,575,646,376,554,781,578,358,720,780,742
1,444,dark,576,646,376,554,782,577,358,720,780,742
1,445,dark,575,646,376,553,781,578,358,721,780,741
1,446,dark,576,647,376,553,781,577,358,722,779,742
1,447,dark,576,646,376,553,781,577,357,721,779,742
1,448,dark,575,646,376,553,782,577,358,720,779,742
1,449,dark,576,646,375,554,782,577,358,721,779,742
1,450,dark,576,646,376,553,782,578,358,721,780,741
1,451,dark,576,646,375,553,782,577,358,721,778,742
1,452,dark,575,646,375,553,782,577,358,719,779,741
1,453,dark,576,645,375,553,782,577,358,720,778,742
1,454,dark,575,646,375,553,781,577,358,720,779,741
1,455,dark,576,646,375,554,781,578,358,721,779,742
1,456,dark,575,646,375,554,781,578,357,721,779,742
1,457,dark,575,646,375,553,782,578,357,721,778,743
1,458,dark,575,646,375,554,781,577,357,721,778,742
1,459,dark,575,646,375,554,781,577,358,720,778,743
1,460,dark,575,646,375,553,781,577,357,721,778,742
1,461,dark,575,646,375,553,781,577,357,721,779,742
1,462,dark,574,647,375,553,781,577,357,721,778,743
1,463,dark,575,647,375,553,781,578,357,721,778,743
1,464,dark,575,647,375,554,782,578,357,721,779,742
1,465,dark,575,647,375,554,781,578,357,722,778,743
1,466,dark,575,647,375,554,782,577,358,721,778,743
1,467,dark,575,647,375,554,781,579,358,721,779,742
1,468,dark,576,646,375,554,781,578,357,721,779,741
1,469,dark,575,646,374,553,781,577,357,720,778,742
1,470,dark,575,646,375,552,781,577,357,720,778,743
1,471,dark,575,646,376,553,781,577,357,720,779,742
1,472,dark,575,646,375,553,782,577,357,721,779,742
1,473,dark,575,646,375,553,781,578,357,721,779,742
1,474,dark,575,646,375,554,782,578,357,720,778,742
1,475,dark,575,647,374,555,782,578,357,721,777,743
1,476,dark,574,648,374,555,781,579,356,722,778,744
1,477,dark,574,649,374,556,781,580,357,724,777,745
1,478,dark,574,649,374,556,780,581,357,724,778,745
1,479,dark,574,649,375,558,780,581,357,724,778,746
1,480,dark,575,649,374,557,781,580,357,724,778,746
1,481,dark,575,650,374,557,781,581,357,724,778,745
1,482,dark,574,650,374,557,781,580,358,724,778,746
1,483,dark,575,650,375,557,781,581,357,725,778,746
1,484,dark,575,651,374,558,781,581,357,724,778,747
1,485,dark,575,650,375,557,781,581,358,725,779,746
1,486,dark,575,649,376,557,781,581,358,723,779,745
1,487,dark,575,649,376,557,781,580,357,723,779,744
1,488,dark,575,648,376,556,782,580,358,723,779,744
1,489,dark,575,648,376,555,782,579,359,722,779,743
1,490,dark,576,648,376,555,782,579,358,722,779,743
1,491,dark,576,647,377,554,782,579,358,721,780,744
1,492,dark,577,646,377,554,784,578,359,721,780,742
1,493,dark,577,645,378,553,785,577,360,720,781,742
1,494,dark,578,645,378,552,784,576,361,719,781,741
1,495,dark,578,644,378,552,785,575,361,718,782,740
1,496,dark,579,644,379,551,786,574,362,717,782,739
1,497,dark,580,642,380,549,787,572,363,716,783,736
1,498,dark,581,639,381,548,788,570,363,713,784,735
1,499,dark,581,636,381,543,788,566,364,710,785,731
1,500,dark,581,634,381,541,787,565,364,707,784,729
1,501,dark,580,633,380,540,787,564,362,705,783,728
1,502,dark,579,632,379,539,786,562,362,705,782,728
1,503,dark,579,631,379,538,785,562,361,705,782,727
1,504,dark,579,630,379,538,787,561,362,704,782,726
1,505,dark,581,630,380,538,787,561,363,704,784,726
1,506,dark,582,630,382,537,788,561,364,704,785,726
1,507,dark,583,629,383,537,790,562,365,704,786,726
1,508,dark,584,630,383,537,790,561,367,703,787,726
1,509,dark,585,629,385,537,791,561,368,704,787,726
1,510,dark,585,630,386,537,792,561,369,704,789,725
1,511,dark,586,631,386,538,793,562,369,705,789,725
1,512,dark,585,631,386,539,793,561,369,705,789,725
1,513,dark,584,632,385,539,791,562,367,706,788,727
1,514,dark,583,632,384,539,790,563,367,706,787,727
1,515,dark,583,632,384,541,790,564,366,707,787,728
1,516,dark,583,633,383,540,790,565,366,707,787,728
1,517,dark,583,633,383,541,791,564,366,709,788,728
1,518,dark,584,633,384,541,790,565,366,708,788,729
1,519,dark,584,634,385,541,791,565,367,708,788,730
1,520,dark,584,634,385,541,791,565,367,708,787,730
1,521,dark,584,634,385,541,790,565,366,708,786,730
1,522,dark,584,634,385,540,790,565,367,708,786,730
2,731,bright,579,634,378,542,785,564,362,708,782,729
2,732,bright,579,634,378,541,785,564,362,708,782,729
2,733,bright,579,634,378,541,785,564,362,708,782,729
2,734,bright,579,634,378,541,785,564,361,708,782,729
2,735,bright,579,634,378,541,785,564,361,708,782,729
2,736,bright,578,634,378,541,785,564,361,708,782,729
2,737,bright,578,634,378,541,785,564,361,708,782,729
2,738,bright,578,634,378,541,785,564,361,708,782,729
2,739,bright,578,633,378,541,785,564,361,708,782,729
2,740,bright,579,634,378,541,785,564,361,708,782,729
2,741,bright,579,634,378,542,786,564,362,708,782,729
2,742,bright,578,634,378,541,785,564,361,708,782,729
2,743,bright,578,633,378,541,785,564,361,708,782,729
2,744,bright,578,634,378,541,785,564,361,708,782,729
2,745,bright,578,634,378,542,785,564,361,709,782,729
2,746,bright,578,634,378,542,785,565,361,709,782,730
2,747,bright,578,634,378,542,785,565,361,709,782,730
2,748,bright,578,634,378,542,785,565,361,709,782,730
2,749,bright,578,634,378,542,785,565,361,709,782,730
2,750,bright,578,634,378,542,785,565,361,709,782,730
2,751,bright,578,634,378,542,785,565,361,709,782,730
2,752,bright,578,634,378,542,785,565,361,709,782,730
2,753,bright,577,634,378,542,784,565,361,709,782,730
2,754,bright,578,635,377,542,784,565,361,709,782,730
2,755,bright,577,635,377,542,784,565,361,709,782,730
2,756,bright,577,635,377,542,784,565,361,709,781,730
2,757,bright,577,635,377,542,784,565,360,709,781,730
2,758,bright,577,635,377,543,784,566,360,710,781,731
2,759,bright,577,635,377,543,784,566,360,710,781,730
2,760,bright,576,635,376,543,784,566,360,710,781,730
2,761,bright,576,635,376,543,783,566,359,709,780,730
2,762,bright,576,635,376,542,784,566,360,709,781,730
2,763,bright,576,635,376,543,784,566,360,710,781,730
2,764,bright,577,635,377,543,784,566,360,710,781,731
2,765,bright,577,636,376,543,783,566,360,710,781,731
2,766,bright,573,638,376,543,783,566,359,710,780,731
2,767,bright,576,635,376,542,783,566,359,710,780,731
2,768,bright,579,639,376,542,783,566,359,710,780,731
2,769,bright,579,639,376,543,783,566,359,710,780,731
2,770,bright,576,636,376,543,783,566,359,710,780,731
2,771,bright,576,636,375,542,783,566,358,710,779,731
2,772,bright,576,636,375,542,783,566,358,710,779,731
2,773,bright,575,635,375,542,782,566,358,710,779,731
2,774,bright,575,635,375,542,782,566,358,710,779,731
2,775,bright,575,635,375,542,782,566,358,710,779,731
2,776,bright,575,636,375,543,782,567,358,710,779,732
2,777,bright,575,636,375,543,782,567,359,710,779,731
2,778,bright,575,635,375,543,782,567,358,710,779,731
2,779,bright,575,636,375,543,782,567,358,710,779,731
2,780,bright,575,635,375,543,782,566,358,710,779,731
2,781,bright,576,636,375,543,783,567,359,710,779,732
2,782,bright,575,636,375,543,783,567,359,710,780,732
2,783,bright,575,636,375,543,783,567,359,710,780,732
2,784,bright,576,636,375,543,783,567,358,710,779,731
2,785,bright,576,636,375,543,783,567,358,710,779,731
2,786,bright,576,636,376,543,783,566,359,710,780,731
2,787,bright,576,635,376,543,783,566,359,710,780,731
2,788,bright,576,635,376,543,783,566,359,710,780,731
2,789,bright,576,635,376,543,783,566,359,710,780,731
2,790,bright,576,635,376,543,783,566,359,710,780,731
2,791,bright,576,635,376,543,783,566,359,709,780,731
2,792,bright,576,635,376,542,783,566,359,709,780,730
2,793,bright,575,635,375,542,782,565,359,709,780,730
2,794,bright,575,634,375,542,783,566,358,709,779,730
2,795,bright,575,634,375,542,783,566,358,709,779,730
2,796,bright,576,635,375,542,783,566,358,709,779,730
2,797,bright,576,635,376,542,783,566,359,709,780,731
2,798,bright,577,635,377,542,784,566,360,709,781,731
2,799,bright,577,635,377,542,785,566,361,709,782,731
2,800,bright,578,635,378,542,785,566,361,709,782,731
2,801,bright,577,635,378,542,785,566,361,709,781,731
2,802,bright,577,635,377,542,784,566,360,709,781,730
2,803,bright,577,635,377,542,784,566,359,708,780,730
2,804,bright,576,634,376,541,783,565,359,708,780,730
2,805,bright,576,634,375,541,783,565,358,708,779,729
2,806,bright,575,633,375,540,782,565,358,707,779,729
2,807,bright,575,633,375,540,782,564,358,707,778,729
2,808,bright,575,633,375,540,782,564,358,707,779,728
2,809,bright,575,632,375,539,782,563,358,706,779,728
2,810,bright,575,632,376,539,783,563,359,706,779,728
2,811,bright,576,632,376,539,783,563,359,706,779,728
2,812,bright,575,632,376,539,783,563,358,706,779,728
2,813,bright,576,632,375,539,783,563,358,706,779,727
2,814,bright,575,631,375,538,782,562,358,705,779,727
2,815,bright,575,631,375,538,782,562,358,705,779,727
2,816,bright,575,631,375,538,782,562,358,705,779,727
2,817,bright,575,631,376,538,783,562,359,705,780,727
2,818,bright,576,632,376,539,783,563,359,705,780,727
2,819,bright,576,632,376,539,783,563,359,705,780,728
