segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,948,dark,944,314,713,232,1168,208,727,414,1171,392
1,949,dark,945,313,713,231,1168,208,727,414,1171,392
1,950,dark,944,313,712,232,1167,209,727,415,1171,392
1,951,dark,944,314,712,232,1167,209,727,415,1171,393
1,952,dark,944,314,712,232,1167,209,727,415,1171,393
1,953,dark,943,314,712,233,1167,210,727,416,1170,393
1,954,dark,943,315,713,233,1167,210,727,416,1171,394
1,955,dark,944,315,713,234,1167,211,727,416,1171,394
1,956,dark,944,315,712,234,1167,211,727,416,1171,394
1,957,dark,944,315,712,234,1167,211,727,417,1170,395
1,958,dark,943,316,712,235,1167,212,727,417,1170,395
1,959,dark,943,316,712,235,1167,212,726,417,1170,395
1,960,dark,943,316,712,235,1167,211,726,417,1170,395
1,961,dark,942,316,712,235,1166,211,726,417,1170,395
1,962,dark,943,316,711,235,1166,211,726,417,1170,395
1,963,dark,943,316,712,235,1166,212,726,418,1170,395
1,964,dark,943,316,712,235,1166,212,726,418,1170,395
1,965,dark,943,316,712,235,1166,212,726,418,1170,396
1,966,dark,943,316,712,236,1166,212,726,418,1170,396
1,967,dark,943,316,712,235,1166,212,726,418,1170,396
1,968,dark,943,316,711,235,1166,212,726,418,1170,395
1,969,dark,943,316,711,235,1166,212,726,418,1169,395
1,970,dark,943,316,711,235,1166,212,726,418,1169,395
1,971,dark,943,316,712,235,1166,212,726,418,1170,396
1,972,dark,943,316,712,235,1166,212,726,418,1170,395
1,973,dark,943,316,712,235,1166,212,726,418,1170,395
1,974,dark,943,316,712,235,1167,212,726,418,1170,395
1,975,dark,943,316,712,235,1167,212,726,418,1170,395
1,976,dark,943,316,712,235,1166,212,726,417,1170,395
1,977,dark,943,316,712,235,1166,212,726,418,1170,395
1,978,dark,943,316,712,235,1166,212,726,418,1170,396
1,979,dark,943,316,712,235,1166,212,726,417,1170,395
1,980,dark,943,316,712,235,1166,211,726,417,1170,395
1,981,dark,943,316,712,235,1166,211,726,417,1170,395
1,982,dark,943,316,712,235,1166,212,726,417,1170,395
1,983,dark,943,316,712,235,1166,212,726,417,1170,395
1,984,dark,943,316,712,235,1166,212,726,417,1170,395
1,985,dark,943,316,712,235,1166,212,726,418,1170,395
1,986,dark,943,316,712,235,1166,212,726,418,1170,395
1,987,dark,943,316,712,235,1166,212,726,418,1170,395
1,988,dark,943,316,711,235,1166,212,726,418,1169,395
1,989,dark,943,316,711,235,1166,212,726,418,1169,395
1,990,dark,943,316,711,235,1166,212,726,418,1169,395
1,991,dark,943,316,711,235,1166,212,726,418,1169,395
1,992,dark,943,316,712,235,1166,212,726,418,1169,395
1,993,dark,943,316,712,235,1166,212,726,418,1170,395
1,994,dark,943,316,712,235,1166,212,726,418,1170,395
1,995,dark,942,316,711,235,1166,212,726,417,1169,395
1,996,dark,943,316,711,235,1166,212,726,417,1169,395
1,997,dark,942,316,711,235,1166,212,726,418,1169,395
1,998,dark,942,316,711,235,1165,211,725,417,1169,395
1,999,dark,942,314,710,233,1165,210,725,416,1169,393
1,1000,dark,941,313,710,232,1165,209,725,415,1169,393
1,1001,dark,942,313,710,231,1165,209,724,414,1168,392
1,1002,dark,941,313,710,231,1165,208,725,414,1169,392
1,1003,dark,942,313,711,231,1166,208,725,414,1169,392
1,1004,dark,943,313,711,231,1166,208,725,414,1169,392
1,1005,dark,942,312,711,231,1166,208,726,414,1170,391
1,1006,dark,943,312,711,231,1166,207,726,414,1170,391
1,1007,dark,942,312,711,230,1166,207,726,413,1170,391
1,1008,dark,942,311,711,230,1166,207,726,413,1170,391
1,1009,dark,942,311,711,230,1166,207,726,413,1170,391
1,1010,dark,942,311,711,230,1166,207,726,413,1170,391
