frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
0	31.93700000	0.22600000	-20.28900000	-0.02000000	-0.18710000	0.98210000	-30.98900000	2.43100000	-21.24600000	0.01640000	-0.20150000	0.97940000	638.49000000	516.21000000	607.47000000	365.63000000	658.44000000	386.02000000
0	31.93700000	0.22600000	-20.28900000	-0.02320000	-0.17460000	0.98440000	-30.98900000	2.43100000	-21.24600000	0.01810000	-0.19980000	0.97970000	639.28000000	512.03000000	611.16000000	350.80000000	656.47000000	384.03000000
1	31.93700000	0.22600000	-20.28900000	-0.02280000	-0.17800000	0.98380000	-30.98900000	2.43100000	-21.24600000	0.01790000	-0.20060000	0.97950000	639.15000000	513.49000000	610.72000000	354.82000000	656.64000000	384.90000000
2	31.93700000	0.22600000	-20.29000000	-0.01890000	-0.16930000	0.98540000	-30.98900000	2.43100000	-21.24600000	0.01630000	-0.20170000	0.97930000	637.70000000	512.34000000	606.00000000	344.46000000	658.50000000	386.25000000
3	31.93700000	0.22600000	-20.29000000	-0.01970000	-0.17170000	0.98500000	-30.98900000	2.43100000	-21.24600000	0.01740000	-0.20220000	0.97920000	637.58000000	513.27000000	606.99000000	347.38000000	657.23000000	386.84000000
4	31.93700000	0.22700000	-20.29000000	-0.01930000	-0.17120000	0.98510000	-30.98900000	2.43100000	-21.24600000	0.01690000	-0.20190000	0.97930000	637.64000000	512.83000000	606.51000000	346.74000000	657.84000000	386.52000000
4	31.93700000	0.22700000	-20.29000000	-0.02050000	-0.16750000	0.98570000	-30.98900000	2.43100000	-21.24600000	0.01710000	-0.20160000	0.97930000	638.15000000	512.27000000	607.84000000	342.39000000	657.60000000	386.19000000
5	31.93700000	0.22700000	-20.29000000	-0.01780000	-0.16400000	0.98630000	-30.98900000	2.43100000	-21.24600000	0.01610000	-0.20220000	0.97920000	637.08000000	512.89000000	604.65000000	338.13000000	658.73000000	386.87000000
6	31.93700000	0.22700000	-20.29100000	-0.01970000	-0.16440000	0.98620000	-30.98900000	2.43100000	-21.24600000	0.01660000	-0.20220000	0.97920000	637.92000000	512.72000000	606.87000000	338.64000000	658.19000000	386.81000000
7	31.93700000	0.22800000	-20.29100000	-0.01940000	-0.16780000	0.98560000	-30.98900000	2.43100000	-21.24600000	0.01670000	-0.20350000	0.97890000	637.77000000	514.40000000	606.62000000	342.69000000	658.08000000	388.44000000
8	31.93700000	0.22800000	-20.29100000	-0.01720000	-0.16630000	0.98590000	-30.98900000	2.43100000	-21.24600000	0.01780000	-0.20380000	0.97880000	635.72000000	514.77000000	603.92000000	340.96000000	656.71000000	388.80000000
9	31.93700000	0.22800000	-20.29100000	-0.01840000	-0.17490000	0.98440000	-30.98900000	2.43100000	-21.24600000	0.01800000	-0.20360000	0.97890000	636.50000000	515.15000000	605.47000000	351.11000000	656.54000000	388.56000000
9	31.93600000	0.22800000	-20.29100000	-0.02070000	-0.17610000	0.98420000	-30.98900000	2.43100000	-21.24600000	0.01730000	-0.20480000	0.97870000	638.27000000	516.69000000	608.25000000	352.59000000	657.34000000	389.89000000
10	31.93600000	0.22800000	-20.29100000	-0.02220000	-0.17530000	0.98430000	-30.98900000	2.43100000	-21.24600000	0.01610000	-0.20650000	0.97830000	639.83000000	518.40000000	610.02000000	351.58000000	658.78000000	391.93000000
11	31.93600000	0.22900000	-20.29200000	-0.01890000	-0.16850000	0.98550000	-30.98900000	2.43100000	-21.24600000	0.01620000	-0.20700000	0.97820000	637.72000000	518.56000000	606.03000000	343.57000000	658.62000000	392.53000000
12	31.93600000	0.22900000	-20.29200000	-0.01890000	-0.16790000	0.98560000	-30.98900000	2.43100000	-21.24600000	0.01610000	-0.20630000	0.97840000	637.74000000	517.72000000	605.97000000	342.79000000	658.73000000	391.70000000
13	31.93700000	0.22900000	-20.29200000	-0.02260000	-0.17650000	0.98400000	-30.98900000	2.43100000	-21.24600000	0.01880000	-0.20450000	0.97870000	638.44000000	516.99000000	610.41000000	353.06000000	655.55000000	389.57000000
13	31.93600000	0.22900000	-20.29200000	-0.02200000	-0.17500000	0.98430000	-30.98900000	2.43100000	-21.24600000	0.01740000	-0.20630000	0.97840000	638.96000000	518.26000000	609.79000000	351.30000000	657.25000000	391.66000000
14	31.93600000	0.22900000	-20.29200000	-0.02270000	-0.17210000	0.98480000	-30.98900000	2.43100000	-21.24600000	0.01820000	-0.20540000	0.97850000	638.85000000	517.16000000	610.59000000	347.75000000	656.27000000	390.69000000
15	31.93600000	0.23000000	-20.29300000	-0.01850000	-0.16330000	0.98640000	-30.98900000	2.43100000	-21.24600000	0.02030000	-0.20550000	0.97840000	635.01000000	516.77000000	605.49000000	337.40000000	653.84000000	390.81000000
15	31.93600000	0.23000000	-20.29300000	-0.02380000	-0.15520000	0.98760000	-30.98900000	2.43100000	-21.24600000	0.01930000	-0.20580000	0.97840000	638.59000000	517.14000000	611.69000000	327.74000000	654.98000000	391.07000000
17	31.93600000	0.23000000	-20.29300000	-0.02390000	-0.15550000	0.98760000	-30.98900000	2.43100000	-21.24600000	0.01800000	-0.20540000	0.97850000	639.44000000	516.78000000	611.76000000	327.99000000	656.58000000	390.64000000
17	31.93600000	0.23000000	-20.29300000	-0.02420000	-0.15950000	0.98690000	-30.98900000	2.43100000	-21.24600000	0.01710000	-0.20690000	0.97820000	640.19000000	518.42000000	612.20000000	332.83000000	657.57000000	392.39000000
18	31.93700000	0.23000000	-20.29300000	-0.02850000	-0.15480000	0.98750000	-30.98900000	2.43100000	-21.24600000	0.01620000	-0.20560000	0.97850000	643.24000000	516.86000000	617.17000000	327.15000000	658.69000000	390.93000000
19	31.93600000	0.23000000	-20.29400000	-0.02640000	-0.16260000	0.98630000	-30.98900000	2.43100000	-21.24600000	0.01470000	-0.20370000	0.97890000	643.01000000	514.52000000	614.84000000	336.53000000	660.44000000	388.67000000
20	31.93700000	0.23100000	-20.29400000	-0.02680000	-0.15980000	0.98680000	-30.98900000	2.43100000	-21.24600000	0.01620000	-0.20380000	0.97890000	642.25000000	514.52000000	615.19000000	333.20000000	658.62000000	388.71000000
20	31.93700000	0.23100000	-20.29400000	-0.02850000	-0.16330000	0.98620000	-30.98900000	2.43100000	-21.24600000	0.01580000	-0.20280000	0.97910000	643.61000000	513.60000000	617.33000000	337.37000000	659.17000000	387.54000000
21	31.93700000	0.23100000	-20.29400000	-0.03070000	-0.15720000	0.98710000	-30.98900000	2.43100000	-21.24600000	0.01690000	-0.20350000	0.97890000	644.10000000	514.21000000	619.75000000	330.10000000	657.77000000	388.43000000
22	31.93700000	0.23100000	-20.29400000	-0.02520000	-0.16040000	0.98670000	-30.98900000	2.43100000	-21.24600000	0.01760000	-0.20250000	0.97910000	640.50000000	512.98000000	613.34000000	333.85000000	656.96000000	387.15000000
23	31.93700000	0.23100000	-20.29500000	-0.02370000	-0.16530000	0.98600000	-30.98900000	2.43100000	-21.24600000	0.01640000	-0.20240000	0.97920000	640.43000000	513.06000000	611.67000000	339.70000000	658.41000000	387.05000000
24	31.93700000	0.23100000	-20.29500000	-0.02790000	-0.16310000	0.98620000	-30.98900000	2.43100000	-21.24600000	0.01560000	-0.20360000	0.97890000	643.31000000	514.43000000	616.57000000	337.05000000	659.32000000	388.49000000
24	31.93700000	0.23200000	-20.29500000	-0.03270000	-0.16560000	0.98560000	-30.98900000	2.43100000	-21.24600000	0.01520000	-0.20520000	0.97860000	646.40000000	516.76000000	622.29000000	340.10000000	659.79000000	390.37000000
25	31.93700000	0.23200000	-20.29500000	-0.03310000	-0.16190000	0.98630000	-30.98900000	2.43100000	-21.24600000	0.01310000	-0.20490000	0.97870000	647.84000000	515.96000000	622.64000000	335.65000000	662.31000000	390.04000000
26	31.93700000	0.23200000	-20.29500000	-0.03150000	-0.16130000	0.98640000	-30.98900000	2.43100000	-21.24600000	0.01330000	-0.20740000	0.97820000	646.79000000	518.90000000	620.84000000	334.94000000	662.02000000	393.05000000
