segment,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y
1,450,dilated,760,479,599,415,924,418,596,544,924,548
1,451,dilated,761,480,599,415,925,419,597,544,924,548
1,452,dilated,761,480,599,416,925,419,597,545,924,548
1,453,dilated,761,480,599,416,925,419,597,545,924,548
1,454,dilated,761,481,599,416,925,419,597,545,924,548
1,455,dilated,761,481,599,416,925,419,597,545,924,548
1,456,dilated,761,481,599,416,925,419,597,545,924,548
1,457,dilated,761,481,599,416,925,419,597,545,924,548
1,458,dilated,761,481,599,416,925,419,597,545,924,548
1,459,dilated,761,481,599,416,925,419,597,545,924,548
1,460,dilated,761,481,599,416,925,419,597,545,924,548
1,461,dilated,761,481,599,416,925,419,597,545,924,548
1,462,dilated,761,480,599,416,925,419,597,545,924,548
1,463,dilated,761,480,599,416,925,419,597,545,924,548
1,464,dilated,762,480,600,416,925,419,597,545,925,548
1,465,dilated,762,480,600,416,925,420,597,546,925,548
1,466,dilated,762,480,599,416,925,419,597,545,925,548
1,467,dilated,761,480,599,416,925,419,597,545,925,548
1,468,dilated,761,480,599,416,925,419,597,545,925,548
1,469,dilated,761,480,599,416,925,419,597,545,925,548
1,470,dilated,762,480,599,416,925,419,597,545,925,548
1,471,dilated,761,480,599,416,925,419,597,545,925,548
1,472,dilated,762,480,599,416,925,419,597,545,925,548
1,473,dilated,762,480,600,416,925,419,597,546,925,548
1,474,dilated,761,481,600,416,925,419,597,546,925,548
1,475,dilated,762,480,600,416,925,419,597,545,925,548
1,476,dilated,761,480,600,416,926,418,598,545,925,548
1,477,dilated,762,480,600,416,926,418,598,545,926,548
1,478,dilated,763,480,600,416,926,418,598,545,926,547
1,479,dilated,763,480,600,416,926,418,598,545,926,547
1,480,dilated,763,480,600,416,926,418,598,545,926,548
1,481,dilated,762,480,601,416,926,418,599,546,926,548
1,482,dilated,763,480,601,416,926,418,599,545,926,548
1,483,dilated,763,480,601,416,927,418,599,545,926,548
1,484,dilated,763,480,601,416,927,419,599,546,927,548
1,485,dilated,763,480,601,416,927,419,599,546,927,548
1,486,dilated,764,481,601,416,928,419,599,546,927,548
1,487,dilated,764,480,601,416,927,419,599,546,927,548
1,488,dilated,764,480,601,416,927,419,599,546,927,548
1,489,dilated,763,480,601,416,928,419,599,546,927,548
1,490,dilated,764,480,602,416,928,419,599,546,928,548
1,491,dilated,764,480,602,416,928,419,600,546,928,548
1,492,dilated,764,480,602,416,928,419,600,546,928,548
1,493,dilated,764,480,602,416,928,419,600,546,928,548
1,494,dilated,764,480,602,416,928,419,600,546,928,548
1,495,dilated,764,480,602,416,928,419,600,546,928,548
1,496,dilated,764,480,602,416,928,419,600,546,928,548
1,497,dilated,764,479,602,416,928,418,600,545,928,548
1,498,dilated,764,479,602,415,928,418,600,545,928,548
1,499,dilated,764,479,602,415,928,418,600,545,928,548
1,500,dilated,764,480,602,415,928,418,600,545,928,548
1,501,dilated,764,479,602,416,928,418,600,545,928,548
1,502,dilated,764,480,602,415,928,418,600,545,928,548
1,503,dilated,764,480,602,416,928,418,600,545,928,548
1,504,dilated,764,480,602,416,928,418,600,545,928,548
1,505,dilated,764,479,602,415,928,418,600,545,928,548
1,506,dilated,764,480,602,416,928,418,600,545,928,548
1,507,dilated,764,480,602,416,928,418,600,545,928,548
1,508,dilated,764,480,602,416,928,418,600,546,928,548
1,509,dilated,764,480,602,416,928,418,600,546,928,548
1,510,dilated,763,480,601,416,928,418,599,545,928,548
1,511,dilated,764,480,601,416,928,418,599,545,928,548
1,512,dilated,764,480,602,416,928,418,599,545,928,548
1,513,dilated,764,480,602,416,928,418,600,545,928,548
1,514,dilated,764,480,602,416,928,418,600,545,928,548
1,515,dilated,764,480,602,416,928,418,600,546,928,548
1,516,dilated,764,480,602,416,928,419,600,546,928,548
1,517,dilated,764,480,602,416,928,419,599,546,928,548
1,518,dilated,764,480,602,416,928,419,599,546,928,548
1,519,dilated,764,480,602,416,928,419,600,546,928,548
1,520,dilated,764,480,602,416,928,419,600,546,928,548
1,521,dilated,764,480,602,416,928,419,600,546,928,548
1,522,dilated,764,480,602,416,928,419,600,546,928,548
1,523,dilated,764,480,602,416,928,419,600,546,928,548
1,524,dilated,764,480,602,416,928,418,600,546,928,548
1,525,dilated,764,480,601,416,928,418,599,546,928,548
1,526,dilated,764,480,601,416,928,418,599,546,928,548
1,527,dilated,763,480,601,416,928,418,599,545,928,548
1,528,dilated,763,480,601,416,928,418,599,545,928,548
1,529,dilated,763,480,602,416,928,418,600,545,928,548
1,530,dilated,764,480,601,416,928,419,599,546,927,548
1,531,dilated,763,480,601,416,927,418,599,546,927,548
1,532,dilated,763,480,601,416,927,418,599,545,927,548
1,533,dilated,763,480,601,416,928,418,599,545,927,548
1,534,dilated,763,480,601,416,928,418,599,546,927,548
1,535,dilated,763,480,601,416,928,418,599,546,927,548
1,536,dilated,764,480,601,416,928,419,599,546,928,548
1,537,dilated,764,480,602,416,928,419,599,546,927,548
1,538,dilated,764,480,601,416,928,419,599,546,927,548
1,539,dilated,764,480,601,416,928,419,599,546,927,548
1,540,dilated,764,480,601,416,928,419,599,546,927,548
1,541,dilated,764,480,601,416,928,419,599,546,927,548
1,542,dilated,764,480,601,416,928,419,599,546,927,548
1,543,dilated,764,480,601,416,928,419,599,546,927,548
1,544,dilated,764,480,601,416,928,419,599,546,927,548
1,545,dilated,764,480,601,416,928,419,599,546,927,548
1,546,dilated,764,480,601,416,928,419,599,546,927,548
1,547,dilated,764,480,601,416,928,419,599,546,927,548
1,548,dilated,764,480,601,416,928,419,599,546,927,548
1,549,dilated,764,480,601,416,928,419,599,546,927,548
1,550,dilated,764,481,601,416,928,419,599,546,927,548
1,551,dilated,763,481,601,416,928,419,599,546,927,549
1,552,dilated,763,481,601,417,928,420,599,546,927,549
1,553,dilated,764,481,601,417,927,420,599,546,927,549
1,554,dilated,763,481,601,416,927,420,599,546,927,549
1,555,dilated,763,481,601,416,928,420,599,546,927,549
1,556,dilated,764,481,602,416,928,420,599,546,927,549
1,557,dilated,764,481,602,416,928,420,600,546,928,549
1,558,dilated,764,482,602,417,928,420,600,546,928,549
1,559,dilated,764,481,602,417,928,420,600,546,928,549
1,560,dilated,764,481,602,417,928,420,600,547,928,549
1,561,dilated,764,482,602,417,928,420,600,547,928,549
1,562,dilated,764,482,602,417,928,420,600,547,928,549
1,563,dilated,764,482,602,417,928,420,600,547,928,549
1,564,dilated,764,482,602,417,928,420,600,547,928,549
1,565,dilated,764,482,602,418,928,420,600,547,928,549
1,566,dilated,764,482,602,417,928,420,600,547,928,549
1,567,dilated,764,482,602,417,928,420,600,547,928,549
1,568,dilated,764,482,602,417,928,420,600,547,928,549
1,569,dilated,764,482,602,417,928,420,600,547,928,549
1,570,dilated,764,482,602,417,928,420,600,547,927,549
1,571,dilated,764,482,602,417,928,420,600,547,927,549
1,572,dilated,764,482,602,417,928,420,600,547,927,549
1,573,dilated,764,482,602,417,928,420,600,547,927,549
1,574,dilated,764,482,602,418,928,420,600,547,927,550
1,575,dilated,763,482,601,418,927,420,599,547,927,549
1,576,dilated,763,481,601,417,927,420,599,547,927,549
1,577,dilated,763,481,601,417,927,420,599,546,927,549
1,578,dilated,763,481,601,417,927,420,599,546,927,549
1,579,dilated,764,481,601,417,927,420,599,546,927,549
1,580,dilated,764,481,601,417,927,420,599,546,927,549
1,581,dilated,763,481,601,417,927,420,599,546,927,549
1,582,dilated,763,481,601,417,927,420,599,546,927,549
1,583,dilated,763,481,601,417,927,420,599,547,926,549
1,584,dilated,763,481,601,417,927,420,599,547,926,549
