eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l_px_x,pup_diam_l_px_y,pup_diam_r_px_x,pup_diam_r_px_y,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],gaze_target_angle
SMI ETG,368,dilated,1,624,605,28.46,10.13,-21.613,4.88,0.0378,-0.3256,0.9448,-29.647,9.895,-20.258,4.94,0.05,-0.2995,0.9528,585.31,661.42,108.0,89.0,112.0,90.0,567.48,685.99,627.65,669.43,3.401379126695607
SMI ETG,368,dilated,1,624,605,28.459,10.13,-21.613,4.86,0.0368,-0.3264,0.9445,-29.648,9.895,-20.258,4.98,0.0499,-0.299,0.953,585.97,662.27,108.0,89.0,112.0,90.0,568.67,687.01,627.85,668.88,3.4175254131927897
SMI ETG,368,dilated,1,624,605,28.459,10.131,-21.613,4.84,0.0368,-0.3268,0.9444,-29.648,9.895,-20.258,4.96,0.0507,-0.2987,0.953,585.47,662.43,108.0,89.0,112.0,90.0,568.7,687.56,626.9,668.47,3.437907178650054
SMI ETG,370,dilated,1,624,605,28.459,10.131,-21.613,4.9,0.0365,-0.3275,0.9441,-29.648,9.895,-20.257,4.98,0.0499,-0.2995,0.9528,586.09,663.71,108.0,89.0,112.0,90.0,569.06,688.44,627.78,669.43,3.473351836898144
SMI ETG,371,dilated,1,624,605,28.459,10.131,-21.613,4.88,0.0358,-0.3272,0.9443,-29.648,9.895,-20.257,5.0,0.0497,-0.2973,0.9535,586.49,663.56,108.0,89.0,112.0,90.0,569.89,687.96,628.01,666.81,3.4563670544303333
SMI ETG,371,dilated,1,624,605,28.459,10.132,-21.613,4.84,0.0365,-0.3259,0.9447,-29.648,9.895,-20.257,5.0,0.0477,-0.2986,0.9532,587.28,663.62,108.0,90.0,112.0,92.0,569.03,686.37,630.36,668.39,3.437761002658874
SMI ETG,373,dilated,1,624,605,28.459,10.132,-21.613,4.9,0.0337,-0.3261,0.9447,-29.649,9.895,-20.257,4.98,0.0492,-0.2979,0.9533,588.3,660.29,108.0,90.0,112.0,92.0,572.27,686.56,628.63,667.45,3.2724873420012144
SMI ETG,374,dilated,1,624,605,28.459,10.132,-21.613,4.86,0.0347,-0.3263,0.9447,-29.649,9.895,-20.256,4.96,0.0485,-0.2972,0.9536,587.92,662.21,107.0,89.0,110.0,90.0,571.1,686.8,629.44,666.57,3.362169902569401
SMI ETG,375,dilated,1,624,605,28.458,10.132,-21.612,4.86,0.034,-0.3278,0.9441,-29.649,9.895,-20.256,5.0,0.0484,-0.2985,0.9532,588.45,663.71,108.0,89.0,112.0,90.0,571.98,688.74,629.53,668.2,3.410905866666309
SMI ETG,375,dilated,1,624,605,28.458,10.132,-21.612,4.82,0.0356,-0.3245,0.9452,-29.649,9.895,-20.256,4.96,0.0494,-0.2983,0.9532,587.11,658.76,106.0,88.0,110.0,90.0,570.07,684.63,628.36,667.93,3.242866477545659
SMI ETG,376,dilated,1,624,605,28.458,10.132,-21.612,4.9,0.0384,-0.3259,0.9446,-29.649,9.895,-20.256,5.0,0.05,-0.298,0.9533,584.69,663.65,109.0,90.0,112.0,92.0,566.76,686.44,627.71,667.65,3.5092835777065408
