eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,confidence,gaze_target_angle
Pupil Core,2621,dilated,1,662,365,88545.83665934,-39.52856942,14.46669344,-21.22770876,4.08855459,0.19039904,-0.1183771,0.97454352,20.36513045,15.22478532,-19.79393277,4.94082646,-0.1027398,-0.05025714,0.99343785,631.5891385,386.87837124,-0.32330453,-2.38875138,180.66880714,1.0,2.704247644539707
Pupil Core,2621,dilated,1,662,365,88549.86315934,-39.52856942,14.46669344,-21.22770876,4.06288045,0.19039904,-0.1183771,0.97454352,20.36513045,15.22478532,-19.79393277,4.94082646,-0.10273416,-0.04943722,0.99347957,631.59416288,387.24299841,-0.32218761,-2.30591449,180.68454097,1.0,2.7194316895228585
Pupil Core,2621,dilated,1,662,365,88553.84315934,-39.52856942,14.46669344,-21.22770876,4.06288045,0.18885415,-0.11269276,0.97551753,20.36513045,15.22478532,-19.79393277,4.90689598,-0.10273416,-0.04943722,0.99347957,631.0876462,389.47260656,-0.44012304,-1.80934412,181.80984336,1.0,2.846114342391155
Pupil Core,2621,dilated,1,662,365,88557.82065934,-39.52856942,14.46669344,-21.22770876,4.09412743,0.18885415,-0.11269276,0.97551753,20.36513045,15.22478532,-19.79393277,4.90689598,-0.0993355,-0.04939308,0.99382734,633.0973361,388.75987029,0.02014807,-1.99860595,184.20092155,1.0,2.701009122271081
Pupil Core,2621,dilated,1,662,365,88561.76865934,-39.52856942,14.46669344,-21.22770876,4.09412743,0.1936028,-0.11267175,0.97458865,20.36513045,15.22478532,-19.79393277,4.94969759,-0.0993355,-0.04939308,0.99382734,634.62537683,389.82822402,0.36742971,-1.71748736,180.71927612,1.0,2.6680939051841617
Pupil Core,2622,dilated,1,662,366,88565.80065934,-39.52856942,14.46669344,-21.22770876,4.09412743,0.18950042,-0.11638084,0.97495902,20.36513045,15.22478532,-19.79393277,4.90932729,-0.0993355,-0.04939308,0.99382734,633.3122134,387.23668805,0.06979621,-2.3460706,183.71691718,1.0,2.576520840321943
Pupil Core,2622,dilated,1,662,366,88569.83865934,-39.52856942,14.46669344,-21.22770876,4.07943995,0.18950042,-0.11638084,0.97495902,20.36513045,15.22478532,-19.79393277,4.90932729,-0.10586988,-0.05367498,0.99293029,629.43170839,386.73089425,-0.80710748,-2.40167499,179.1261666,1.0,2.7865116958011114
Pupil Core,2622,dilated,1,662,366,88573.84565934,-39.52856942,14.46669344,-21.22770876,4.07943995,0.18698885,-0.11981907,0.97502747,20.36513045,15.22478532,-19.79393277,4.91920021,-0.10586988,-0.05367498,0.99293029,628.63468427,384.6170899,-0.99676258,-2.9077664,180.91602289,1.0,2.757543384230842
Pupil Core,2622,dilated,1,662,366,88577.84665934,-39.52856942,14.46669344,-21.22770876,4.12001074,0.18698885,-0.11981907,0.97502747,20.36513045,15.22478532,-19.79393277,4.91920021,-0.10108398,-0.05458641,0.99337926,631.47054456,383.18956349,-0.35726856,-3.29306171,184.25867876,0.98936602,2.5287196130784566
Pupil Core,2622,dilated,1,662,366,88581.73365934,-39.52856942,14.46669344,-21.22770876,4.12001074,0.18797259,-0.11438959,0.9754903,20.36513045,15.22478532,-19.79393277,4.93889437,-0.10108398,-0.05458641,0.99337926,631.77470124,385.86114738,-0.28556026,-2.66198724,183.53518409,0.98936602,2.6105252878490472
Pupil Core,2622,dilated,1,662,366,88585.66965934,-39.52856942,14.46669344,-21.22770876,4.05250156,0.18797259,-0.11438959,0.9754903,20.36513045,15.22478532,-19.79393277,4.93889437,-0.09910265,-0.05453075,0.99358193,632.9452995,385.46220955,-0.01517496,-2.77546263,184.94657899,1.0,2.5242576394878387
Pupil Core,2622,dilated,1,662,366,88589.71515934,-39.52856942,14.46669344,-21.22770876,4.05250156,0.18551746,-0.11607641,0.975761,20.36513045,15.22478532,-19.79393277,4.92483013,-0.09910265,-0.05453075,0.99358193,632.16342332,384.1605207,-0.19922571,-3.10983782,186.80160103,1.0,2.5210940900498904
Pupil Core,2622,dilated,1,662,366,88593.73515934,-39.52856942,14.46669344,-21.22770876,4.08724836,0.18551746,-0.11607641,0.975761,20.36513045,15.22478532,-19.79393277,4.92483013,-0.09568556,-0.05618045,0.99382495,634.17238415,382.70191409,0.27693877,-3.49949456,189.29755365,1.0,2.342582748836913
Pupil Core,2622,dilated,1,662,366,88597.76315934,-39.52856942,14.46669344,-21.22770876,4.08724836,0.18264351,-0.11316669,0.97664459,20.36513045,15.22478532,-19.79393277,4.88718582,-0.09568556,-0.05618045,0.99382495,633.24960305,383.38449935,0.05767773,-3.3765741,191.56626741,1.0,2.4250389986860963
Pupil Core,2623,dilated,1,662,366,88601.75065934,-39.52856942,14.46669344,-21.22770876,4.03904468,0.18264351,-0.11316669,0.97664459,20.36513045,15.22478532,-19.79393277,4.88718582,-0.09800628,-0.05706832,0.99354817,631.88281235,383.48324006,-0.26948062,-3.32173997,189.79551052,0.9904643,2.513457116879106
Pupil Core,2623,dilated,1,662,366,88605.78665934,-39.52856942,14.46669344,-21.22770876,4.01762796,0.18264351,-0.11316669,0.97664459,20.36513045,15.22478532,-19.79393277,4.88718582,-0.09586912,-0.05640291,0.99379466,633.14131422,383.32484147,0.03153455,-3.38844025,191.4226472,0.96777079,2.4294999126030112
Pupil Core,2623,dilated,1,662,366,88609.80515934,-39.52856942,14.46669344,-21.22770876,4.01762796,0.1840223,-0.11298631,0.97640662,20.36513045,15.22478532,-19.79393277,,-0.09586912,-0.05640291,0.99379466,633.58025899,383.70733645,0.13654605,-3.27733783,190.33120208,0.96777079,2.416934168102617
Pupil Core,2623,dilated,1,662,366,88613.86815934,-39.52856942,14.46669344,-21.22770876,4.01762796,0.18231927,-0.11469065,0.97652739,20.36513045,15.22478532,-19.79393277,4.8609309,-0.09586912,-0.05640291,0.99379466,633.04120926,382.5683835,0.00741628,-3.57580735,191.68003888,0.96777079,2.408063321464587
Pupil Core,2623,dilated,1,662,366,88617.93015934,-39.52856942,14.46669344,-21.22770876,4.08070637,0.18231927,-0.11469065,0.97652739,20.36513045,15.22478532,-19.79393277,4.8609309,-0.10002959,-0.05708039,0.99334582,630.58983001,383.14995106,-0.57463731,-3.3789414,188.5365612,1.0,2.582862445487923
Pupil Core,2623,dilated,1,662,366,88621.86365934,-39.52856942,14.46669344,-21.22770876,4.03804029,0.18231927,-0.11469065,0.97652739,20.36513045,15.22478532,-19.79393277,4.8609309,-0.09871819,-0.05668284,0.99349976,631.3640648,383.04803264,-0.39288193,-3.42092344,189.52072601,1.0,2.530419117147153
Pupil Core,2623,dilated,1,662,366,88625.81115934,-39.52856942,14.46669344,-21.22770876,4.03804029,0.18818411,-0.1173822,0.97509392,20.36513045,15.22478532,-19.79393277,4.96076486,-0.09871819,-0.05668284,0.99349976,633.24170423,383.11689898,0.05386856,-3.32372889,185.0265853,1.0,2.41557260445576
Pupil Core,2623,dilated,1,662,366,88629.76265934,-39.52856942,14.46669344,-21.22770876,4.05110245,0.18818411,-0.1173822,0.97509392,20.36513045,15.22478532,-19.79393277,4.96076486,-0.09705756,-0.05958917,0.99349331,634.21492823,381.47143,0.28235379,-3.73066293,186.17752144,1.0,2.295373441839882
Pupil Core,2624,dilated,1,661,366,88633.73865934,-39.52856942,14.46669344,-21.22770876,4.05110245,0.18743964,-0.1170521,0.97527698,20.36513045,15.22478532,-19.79393277,4.91548524,-0.09705756,-0.05958917,0.99349331,633.97554703,381.45795819,0.22692545,-3.74519744,186.74461098,1.0,2.247078439304806
Pupil Core,2624,dilated,1,661,366,88637.83065934,-39.52856942,14.46669344,-21.22770876,3.99950402,0.18743964,-0.1170521,0.97527698,20.36513045,15.22478532,-19.79393277,4.91548524,-0.09745123,-0.0570749,0.99360239,633.74866404,382.65931595,0.17334408,-3.45776798,186.49871,1.0,2.3053920066242384
Pupil Core,2624,dilated,1,661,366,88641.83665934,-39.52856942,14.46669344,-21.22770876,3.99950402,0.1860412,-0.11411768,0.97589232,20.36513045,15.22478532,-19.79393277,4.92116655,-0.09745123,-0.0570749,0.99360239,633.295085,383.67735515,0.06721629,-3.23689937,187.57101436,1.0,2.3721257376106215
Pupil Core,2624,dilated,1,661,366,88645.83315934,-39.52856942,14.46669344,-21.22770876,3.99950402,0.18579687,-0.11070281,0.97633212,20.36513045,15.22478532,-19.79393277,4.86525741,-0.09745123,-0.0570749,0.99360239,633.21007652,385.16369625,0.04718775,-2.88835346,187.76096607,1.0,2.4366543793071496
Pupil Core,2624,dilated,1,661,366,88649.80115934,-39.52856942,14.46669344,-21.22770876,4.03532732,0.18579687,-0.11070281,0.97633212,20.36513045,15.22478532,-19.79393277,4.86525741,-0.09723932,-0.05916117,0.99350112,633.3306554,384.19210865,0.07574248,-3.12035491,187.88292743,0.99259776,2.3902067223836614
Pupil Core,2624,dilated,1,661,366,88653.80415934,-39.52856942,14.46669344,-21.22770876,4.03532732,0.18893658,-0.1069321,0.97614983,20.36513045,15.22478532,-19.79393277,4.88455999,-0.09723932,-0.05916117,0.99350112,634.32850007,386.58453276,0.30781279,-2.52120702,185.49077835,0.99259776,2.43207604857844
Pupil Core,2624,dilated,1,661,366,88657.77015934,-39.52856942,14.46669344,-21.22770876,4.05710431,0.18893658,-0.1069321,0.97614983,20.36513045,15.22478532,-19.79393277,4.88455999,-0.10174363,-0.06015873,0.99299001,631.66728318,387.10597885,-0.3082539,-2.35776791,182.28080582,1.0,2.608447480895028
Pupil Core,2624,dilated,1,661,366,88661.78515934,-39.52856942,14.46669344,-21.22770876,,0.18893658,-0.1069321,0.97614983,20.36513045,15.22478532,-19.79393277,4.88455999,-0.10210551,-0.0583163,0.99306277,631.4569172,388.00462978,-0.35608981,-2.14865792,182.05735652,1.0,2.6590564377776174
Pupil Core,2625,dilated,1,661,366,88665.81465934,-39.52856942,14.46669344,-21.22770876,,0.19091803,-0.11088949,0.97532242,20.36513045,15.22478532,-19.79393277,4.90092201,-0.10210551,-0.0583163,0.99306277,632.1004502,386.6533467,-0.20694172,-2.43932474,180.61917515,1.0,2.5640039042915896
Pupil Core,2625,dilated,1,661,366,88669.86115934,-39.52856942,14.46669344,-21.22770876,4.06385267,0.19091803,-0.11088949,0.97532242,20.36513045,15.22478532,-19.79393277,4.90092201,-0.10026658,-0.06201078,0.99302632,633.18110866,384.61178664,0.03906576,-2.92366138,181.83219074,1.0,2.415962070953895
Pupil Core,2625,dilated,1,661,366,88673.87465934,-39.52856942,14.46669344,-21.22770876,4.06385267,0.18991519,-0.10818627,0.97582168,20.36513045,15.22478532,-19.79393277,4.81108391,-0.10026658,-0.06201078,0.99302632,632.85341463,385.61355783,-0.03610033,-2.70492224,182.56707535,1.0,2.476313487339997
Pupil Core,2625,dilated,1,661,366,88677.86265934,-39.52856942,14.46669344,-21.22770876,4.06385267,0.19339191,-0.10758706,0.9752049,20.36513045,15.22478532,-19.79393277,,-0.10026658,-0.06201078,0.99302632,633.97146434,386.65497967,0.21784327,-2.431215,180.04623359,1.0,2.4555910101616796
Pupil Core,2625,dilated,1,661,366,88681.83915934,-39.52856942,14.46669344,-21.22770876,3.98445866,0.19339191,-0.10758706,0.9752049,20.36513045,15.22478532,-19.79393277,,-0.10210212,-0.06149015,0.99287165,632.88593902,387.28190998,-0.02803273,-2.27319411,178.80821098,1.0,2.545309932038146
Pupil Core,2625,dilated,1,661,366,88685.81765934,-39.52856942,14.46669344,-21.22770876,3.96142549,0.19339191,-0.10758706,0.9752049,20.36513045,15.22478532,-19.79393277,,-0.10709402,-0.06137716,0.99235262,629.92034103,388.40891804,-0.68275809,-1.98178477,175.49443631,0.99025697,2.765680919830057
Pupil Core,2625,dilated,1,661,366,88689.81815934,-39.52856942,14.46669344,-21.22770876,3.96142549,0.19222198,-0.10423017,0.97580059,20.36513045,15.22478532,-19.79393277,4.87943951,-0.10709402,-0.06137716,0.99235262,629.53787978,389.67173462,-0.77077557,-1.71028098,176.3005625,0.99025697,2.842016175961752
Pupil Core,2625,dilated,1,661,366,88693.81065934,-39.52856942,14.46669344,-21.22770876,3.96777926,0.19222198,-0.10423017,0.97580059,20.36513045,15.22478532,-19.79393277,4.87943951,-0.10418888,-0.06156816,0.99265001,631.2647673,388.95802972,-0.39171482,-1.88930781,178.22967906,1.0,2.711734122787402
Pupil Core,2625,dilated,1,661,366,88697.80315934,-39.52856942,14.46669344,-21.22770876,3.96777926,0.19671012,-0.10500726,0.97482234,20.36513045,15.22478532,-19.79393277,4.86722382,-0.10418888,-0.06156816,0.99265001,632.71489841,389.60998435,-0.06516096,-1.71241707,175.11758914,1.0,2.659708863597324
Pupil Core,2626,dilated,1,661,366,88701.81665934,-39.52856942,14.46669344,-21.22770876,3.92539756,0.19671012,-0.10500726,0.97482234,20.36513045,15.22478532,-19.79393277,4.86722382,-0.10026194,-0.05789673,0.99327514,635.05039877,390.40163349,0.45652972,-1.560901,177.76025868,1.0,2.571601886920823
Pupil Core,2626,dilated,1,661,366,88705.84565934,-39.52856942,14.46669344,-21.22770876,3.92539756,0.19455463,-0.09963648,0.97581815,20.36513045,15.22478532,-19.79393277,,-0.10026194,-0.05789673,0.99327514,634.3417321,392.35069946,0.3004838,-1.13388732,179.28461411,1.0,2.7061316714254744
Pupil Core,2626,dilated,1,661,366,88709.85915934,-39.52856942,14.46669344,-21.22770876,3.95652664,0.19455463,-0.09963648,0.97581815,20.36513045,15.22478532,-19.79393277,,-0.09954211,-0.05744822,0.99337358,634.76800546,392.39446305,0.39779465,-1.1271072,179.78022485,1.0,2.686605695255219
Pupil Core,2626,dilated,1,661,366,88713.84965934,-39.52856942,14.46669344,-21.22770876,3.95652664,0.19416927,-0.1019609,0.97565479,20.36513045,15.22478532,-19.79393277,4.85861018,-0.09954211,-0.05744822,0.99337358,634.64824902,391.25576758,0.37126185,-1.38723302,180.05625732,1.0,2.6351177133144126
