eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,708,dilated,1,985,332,28303.654,-0.0296,0.2208,0.9749,29.75,-25.74,-28.61,4.18,0.0178,0.2142,0.9766,-32.47,-25.5,-27.79,4.19,992.64,313.74,-8.95,254.41,1228.17,0.9496329422380593
Tobii Glasses 2,708,dilated,1,985,332,28313.672,-0.0277,0.2248,0.974,29.95,-25.88,-28.76,4.25,0.0148,0.2092,0.9778,-32.87,-25.25,-28.04,4.29,993.408,314.172,-9.82,255.06,1233.36,0.9462117678503517
Tobii Glasses 2,709,dilated,1,985,332,28323.667,-0.0299,0.2214,0.9747,29.76,-25.73,-28.65,4.18,0.0164,0.2134,0.9768,-32.47,-25.48,-27.83,4.2,993.6,313.632,-10.14,257.88,1244.43,0.9734487932107215
Tobii Glasses 2,709,dilated,1,985,332,28333.657,-0.0279,0.2246,0.9741,29.95,-25.87,-28.78,4.25,0.016,0.2111,0.9773,-32.9,-25.33,-27.92,4.27,992.832,313.092,-9.25,258.06,1242.22,0.9817056335297544
Tobii Glasses 2,709,dilated,1,985,332,28343.65,-0.0296,0.2199,0.9751,29.77,-25.71,-28.69,4.17,0.0181,0.2156,0.9763,-32.48,-25.51,-27.78,4.19,992.448,313.308,-8.77,256.29,1234.79,0.9650926555321622
Tobii Glasses 2,709,dilated,1,985,332,28353.639,-0.0278,0.2235,0.9743,29.95,-25.87,-28.79,4.24,0.0164,0.2107,0.9774,-32.9,-25.34,-27.91,4.26,992.448,313.848,-8.94,257.55,1244.14,0.9412777185365899
Tobii Glasses 2,710,dilated,1,985,332,28363.629,-0.0294,0.2183,0.9754,29.78,-25.69,-28.72,4.17,0.0175,0.2151,0.9764,-32.48,-25.51,-27.77,4.18,992.64,314.172,-9.23,260.84,1261.85,0.9307134884170305
Tobii Glasses 2,710,dilated,1,985,332,28373.625,-0.0276,0.2233,0.9744,29.96,-25.87,-28.8,4.24,0.0167,0.2097,0.9776,-32.9,-25.34,-27.91,4.25,992.256,314.928,-8.57,253.8,1231.23,0.8902301127768684
Tobii Glasses 2,710,dilated,1,985,332,28383.618,-0.0295,0.2176,0.9756,29.79,-25.68,-28.75,4.16,0.0195,0.2134,0.9768,-32.48,-25.51,-27.77,4.17,991.488,316.548,-7.63,246.41,1203.72,0.8045075743064573
Tobii Glasses 2,710,dilated,1,985,332,28393.604,-0.0278,0.2216,0.9747,29.96,-25.86,-28.81,4.23,0.018,0.2094,0.9777,-32.9,-25.34,-27.91,4.24,991.488,316.224,-7.77,249.9,1219.45,0.8187549605539014
Tobii Glasses 2,710,dilated,1,985,332,28403.598,-0.029,0.2183,0.9754,29.8,-25.68,-28.76,4.16,0.0186,0.2127,0.9769,-32.49,-25.51,-27.78,4.16,991.68,316.116,-8.04,252.38,1230.83,0.8271269582054546
Tobii Glasses 2,711,dilated,1,985,332,28413.59,-0.0276,0.221,0.9749,29.96,-25.86,-28.81,4.22,0.0175,0.2094,0.9777,-32.9,-25.33,-27.92,4.23,991.68,316.332,-8.1,254.83,1243.7,0.817657626573616
Tobii Glasses 2,711,dilated,1,985,332,28423.587,-0.0286,0.2163,0.9759,29.8,-25.68,-28.76,4.16,0.0186,0.2134,0.9768,-32.49,-25.51,-27.79,4.15,991.488,316.548,-7.94,257.49,1258.05,0.8045075743064573
Tobii Glasses 2,711,dilated,1,985,332,28433.602,-0.027,0.2201,0.9751,29.97,-25.86,-28.81,4.21,0.0174,0.2097,0.9776,-32.9,-25.32,-27.93,4.22,991.296,316.224,-7.94,262.0,1278.09,0.8152126901297324
Tobii Glasses 2,711,dilated,1,985,332,28443.593,-0.0275,0.2164,0.9759,29.8,-25.68,-28.76,4.15,0.0182,0.2146,0.9765,-32.49,-25.5,-27.8,4.14,991.104,315.144,-7.72,268.21,1302.7,0.8599538116270551
Tobii Glasses 2,712,dilated,1,985,332,28453.589,-0.0264,0.2214,0.9748,29.97,-25.86,-28.81,4.2,0.0169,0.2112,0.9773,-32.9,-25.32,-27.94,4.21,991.296,314.064,-7.96,271.0,1310.12,0.9115725577211885
Tobii Glasses 2,712,dilated,1,985,332,28463.582,-0.0275,0.2171,0.9758,29.8,-25.68,-28.76,4.15,0.0177,0.2153,0.9764,-32.49,-25.49,-27.81,4.12,991.296,314.172,-8.1,271.99,1315.44,0.9067204252865531
Tobii Glasses 2,712,dilated,1,985,332,28473.571,-0.026,0.2202,0.9751,29.97,-25.86,-28.81,4.19,0.0169,0.2113,0.9773,-32.91,-25.31,-27.95,4.2,990.912,314.28,-7.85,277.06,1340.94,0.8957503774704743
Tobii Glasses 2,712,dilated,1,985,332,28483.561,-0.0259,0.2181,0.9756,29.8,-25.68,-28.76,4.15,0.0167,0.2159,0.9763,-32.5,-25.49,-27.81,4.11,990.912,312.12,-8.04,291.24,1396.67,0.9939070644881686
Tobii Glasses 2,713,dilated,1,985,332,28493.553,-0.0249,0.2215,0.9748,29.97,-25.86,-28.81,4.19,0.016,0.2118,0.9772,-32.91,-25.3,-27.96,4.19,990.912,312.552,-7.96,289.23,1389.63,0.974199327533892
Tobii Glasses 2,713,dilated,1,985,332,28503.55,-0.026,0.2144,0.9764,29.8,-25.67,-28.77,4.14,0.0175,0.2167,0.9761,-32.5,-25.48,-27.82,4.1,990.528,314.388,-7.46,282.3,1366.37,0.8850722410021352
Tobii Glasses 2,713,dilated,1,985,332,28513.535,-0.0248,0.22,0.9752,29.97,-25.86,-28.82,4.18,0.0168,0.211,0.9773,-32.91,-25.29,-27.97,4.18,990.336,314.28,-7.21,284.42,1376.01,0.8872387964245614
Tobii Glasses 2,713,dilated,1,985,332,28523.529,-0.0254,0.2147,0.9764,29.8,-25.67,-28.78,4.13,0.0177,0.2161,0.9762,-32.5,-25.48,-27.82,4.09,989.952,314.388,-6.9,285.62,1382.41,0.8770615674327953
Tobii Glasses 2,714,dilated,1,985,332,28533.521,-0.0245,0.2191,0.9754,29.97,-25.86,-28.82,4.17,0.0169,0.2106,0.9774,-32.91,-25.29,-27.97,4.17,990.144,314.82,-7.03,286.86,1391.39,0.859883998185685
Tobii Glasses 2,714,dilated,1,985,332,28543.543,-0.0256,0.2143,0.9764,29.8,-25.67,-28.78,4.14,0.0169,0.2143,0.9766,-32.5,-25.48,-27.83,4.08,990.528,315.468,-7.77,288.65,1403.43,0.8360932219063946
Tobii Glasses 2,714,dilated,1,985,332,28553.533,-0.0244,0.2175,0.9758,29.97,-25.86,-28.82,4.17,0.0163,0.21,0.9776,-32.9,-25.29,-27.98,4.16,990.336,315.792,-7.5,293.15,1427.75,0.8184728102201075
Tobii Glasses 2,714,dilated,1,985,332,28563.526,-0.0246,0.2136,0.9766,29.8,-25.67,-28.78,4.14,0.0169,0.2138,0.9767,-32.5,-25.48,-27.83,4.07,989.952,315.792,-7.15,295.61,1439.66,0.8127953534195481
Tobii Glasses 2,715,dilated,1,985,332,28573.52,-0.0243,0.2189,0.9755,29.97,-25.86,-28.82,4.18,0.0161,0.2104,0.9775,-32.9,-25.29,-27.98,4.16,990.336,314.712,-7.59,294.21,1426.24,0.8675371943586159
Tobii Glasses 2,715,dilated,1,985,332,28583.513,-0.0253,0.2151,0.9763,29.8,-25.67,-28.78,4.14,0.0168,0.2145,0.9766,-32.51,-25.47,-27.84,4.07,990.336,314.604,-7.62,292.84,1419.1,0.8724588053746277
Tobii Glasses 2,715,dilated,1,985,332,28593.498,-0.0245,0.2189,0.9754,29.97,-25.86,-28.82,4.18,0.0164,0.2112,0.9773,-32.91,-25.28,-27.99,4.16,990.336,314.388,-7.48,292.65,1416.43,0.8823096526627537
Tobii Glasses 2,715,dilated,1,985,332,28603.492,-0.0252,0.218,0.9756,29.8,-25.68,-28.77,4.16,0.017,0.2141,0.9767,-32.51,-25.47,-27.84,4.08,990.336,313.308,-7.35,290.87,1401.65,0.9317049291133189
