frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l	pup_diam_r	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z
12	779.70700000	423.62300000	2.95141530	2.88674355	-31.14872742	15.93366623	-40.00370026	31.92208290	17.12348938	-40.19142532	-0.00644775	-0.11148657	0.99374503	0.04647438	-0.11985570	0.99170297
12	779.38100000	428.63500000	2.93088603	2.89159179	-31.11037445	16.02077866	-39.91654205	31.95522308	17.18590546	-40.26884460	-0.00733922	-0.11675683	0.99313343	0.05009175	-0.12582567	0.99078691
12	780.01700000	426.09600000	2.94992661	2.89270878	-31.14551926	16.07320786	-39.95677185	31.92054558	17.27526093	-40.19865417	-0.00574473	-0.12152024	0.99257231	0.05060702	-0.13064666	0.99013656
12	779.45900000	423.89100000	2.95772386	2.90030527	-31.10645294	16.09192657	-39.95421600	31.96097946	17.25142670	-40.23267365	-0.00862719	-0.12262651	0.99241543	0.04750935	-0.13174406	0.99014461
12	779.38700000	422.80000000	2.94025946	2.90522337	-31.07617188	16.07593536	-39.94935608	31.99011040	17.23147583	-40.22431946	-0.00930051	-0.12135352	0.99256581	0.04409365	-0.13017246	0.99051040
12	779.42400000	422.01800000	2.94723940	2.89729905	-31.11189270	16.06232452	-39.96024323	31.95421982	17.21436310	-40.20870590	-0.00719486	-0.12009453	0.99273640	0.04777535	-0.12903073	0.99048907
12	779.63500000	424.72400000	2.93303967	2.89862895	-31.10778046	16.09537125	-39.88818359	31.95676804	17.21934891	-40.26839447	-0.00435513	-0.12062825	0.99268824	0.04997617	-0.12931703	0.99034315
12	780.07100000	424.01900000	2.93377447	2.89914083	-31.08556366	16.11052704	-39.88228989	31.98025131	17.21602631	-40.26347351	-0.00661182	-0.12106029	0.99262315	0.04791964	-0.13007778	0.99034512
12	781.25000000	421.93000000	2.94331670	2.90020752	-31.13515854	16.09945679	-39.98271942	31.93174362	17.24742508	-40.22235107	-0.00530532	-0.12253506	0.99245006	0.04990348	-0.13100961	0.99012434
12	783.88500000	423.07800000	2.95005345	2.91527128	-31.17773056	16.05646133	-40.00204849	31.89005852	17.21237946	-40.20659637	-0.00251589	-0.11919658	0.99286747	0.05190614	-0.12805803	0.99040747
13	781.77300000	427.20400000	2.93923998	2.91247821	-31.14530563	16.06018066	-39.94313812	31.92115974	17.19700623	-40.23685455	-0.00220769	-0.11827391	0.99297857	0.05176100	-0.12691881	0.99056166
13	780.78300000	428.62200000	2.94330788	2.91343737	-31.17264557	16.10032654	-39.99672318	31.89569855	17.22380066	-40.19783020	-0.00415363	-0.12150450	0.99258220	0.05204705	-0.13010521	0.99013323
15	783.97500000	424.80200000	2.93076515	2.91616035	-31.08963013	16.01960754	-39.96341324	31.97704124	17.15433121	-40.28492355	-0.00700989	-0.11585853	0.99324101	0.05096366	-0.12467360	0.99088812
15	782.85200000	425.36100000	2.93100643	2.89908552	-31.07843018	16.00012970	-39.95837021	31.98844147	17.14160538	-40.22628784	-0.00769616	-0.11333373	0.99352717	0.04685237	-0.12184315	0.99144298
16	782.24600000	429.48200000	2.92546749	2.89637756	-31.06641769	16.00553131	-39.88239288	31.99965477	17.12422180	-40.25393295	-0.00595208	-0.11151773	0.99374467	0.04596786	-0.12016127	0.99168956
16	781.34500000	427.72600000	2.93213582	2.90039420	-31.07807922	15.99608612	-39.94132996	31.98946190	17.12556458	-40.22846222	-0.00829054	-0.11239302	0.99362928	0.04489987	-0.12106042	0.99162918
16	781.18600000	426.61800000	2.93327761	2.90313220	-31.06691742	16.04880524	-39.92028427	31.99921608	17.20083237	-40.26309204	-0.00772686	-0.11762048	0.99302858	0.04635628	-0.12628110	0.99091083
16	782.62800000	427.71600000	2.93129539	2.89679694	-31.05960464	15.99857712	-39.95526886	32.00962830	17.15607071	-40.23155975	-0.01100004	-0.11334096	0.99349529	0.04262420	-0.12215989	0.99159479
16	781.72700000	425.77400000	2.92138720	2.89561653	-31.07641220	16.01164246	-39.91168213	31.99030685	17.16804504	-40.21092224	-0.00689935	-0.11327380	0.99353993	0.04470412	-0.12191734	0.99153304
16	777.40500000	427.58700000	2.83862019	2.83851242	-31.13350677	15.98773956	-39.99301910	31.93584824	17.15103149	-40.26783752	-0.01230177	-0.11272884	0.99354964	0.04910884	-0.12131506	0.99139851
16	776.15000000	427.41600000	2.84519815	2.84730124	-31.12834167	15.99194336	-39.98355865	31.93980217	17.13850403	-40.25698853	-0.00871301	-0.11099421	0.99378288	0.04785604	-0.11980422	0.99164349
16	775.17800000	428.94300000	2.83310175	2.83632255	-31.21195221	15.96641922	-40.01582336	31.85712433	17.11572266	-40.20154953	-0.00389419	-0.11026866	0.99389422	0.05197738	-0.11868963	0.99157006
16	776.42800000	424.03900000	2.83938479	2.84300971	-31.18327332	15.95830917	-40.04409790	31.88651085	17.11054993	-40.24166870	-0.00755133	-0.10970300	0.99393576	0.05094082	-0.11849575	0.99164701
16	778.49100000	426.81300000	2.83188033	2.84570336	-31.13174820	15.96719360	-40.02038574	31.93917847	17.10112762	-40.16591644	-0.00878407	-0.10906953	0.99399531	0.04579864	-0.11807731	0.99194771
17	780.16800000	420.34400000	2.83482695	2.84209013	-31.14041138	15.97068024	-40.03688431	31.93103409	17.10863495	-40.15899658	-0.00924501	-0.11011250	0.99387616	0.04473092	-0.11924345	0.99185693
