eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_pos_vid_x,gaze_pos_vid_y,pup_diam_l,pup_diam_r,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_target_angle
Pupil Neon,828,dilated,1,777,352,764.66,333.06,5.72441244,5.83557177,-31.06432343,15.7388382,-39.03635025,31.89596176,15.38754272,-38.28413391,0.00318409,-0.31067264,0.95051169,0.00788048,-0.31812733,0.94801527,1.448683825648881
Pupil Neon,828,dilated,1,777,352,767.951,330.156,5.71445894,5.84301424,-31.04045105,15.774189,-38.98015976,31.92011261,15.36132431,-38.40721893,0.00323611,-0.31137815,0.95028061,0.01170861,-0.3190732,0.94765776,1.5176911035940324
Pupil Neon,828,dilated,1,777,352,764.448,331.467,5.7273922,5.84067869,-31.07301712,15.77238083,-39.01768494,31.88904572,15.3745842,-38.37397385,0.00506317,-0.31095794,0.95041019,0.01140858,-0.31809196,0.94799125,1.5426887788604067
Pupil Neon,829,dilated,1,777,352,764.792,332.641,5.71513414,5.83426571,-31.07351303,15.75423813,-39.01969147,31.88766098,15.35919189,-38.35513687,0.00523651,-0.30900559,0.95104581,0.01133624,-0.31634188,0.94857752,1.4669385520103522
Pupil Neon,829,dilated,1,777,352,764.851,332.223,5.71596718,5.83097506,-31.0664444,15.74293137,-39.0131073,31.89555168,15.35680771,-38.34064102,0.00487868,-0.30833739,0.95126456,0.00877153,-0.3154721,0.94889432,1.4878530630941953
Pupil Neon,829,dilated,1,777,352,764.917,334.147,5.71855164,5.85002184,-31.07326126,15.75201035,-39.02413177,31.89128113,15.3419342,-38.41546249,0.00459974,-0.30954543,0.95087355,0.01323479,-0.31697956,0.94834006,1.3813080484236449
Pupil Neon,829,dilated,1,777,352,764.169,332.687,5.71342897,5.85414648,-31.04065704,15.78010941,-38.98464203,31.92362976,15.35946655,-38.42523956,0.00377609,-0.31175026,0.95015663,0.01273224,-0.31961775,0.94746107,1.4858034226152779
Pupil Neon,829,dilated,1,777,352,763.72,334.557,5.7101202,5.83623409,-31.06595993,15.75680542,-38.98258209,31.89878654,15.3253212,-38.4056282,0.0056942,-0.30859357,0.95117694,0.01195018,-0.31625256,0.94859976,1.403883566236278
Pupil Neon,829,dilated,1,777,352,764.965,333.912,5.72243929,5.82531977,-31.0838623,15.76957703,-39.02693558,31.87798691,15.35297394,-38.38647079,0.00411109,-0.31066164,0.95051169,0.01219639,-0.31826824,0.94792229,1.3922078985199098
Pupil Neon,829,dilated,1,777,352,763.924,333.902,5.7067275,5.83999491,-31.07872009,15.74666977,-39.00352478,31.88397598,15.33766174,-38.38452911,0.00479215,-0.3089616,0.95106244,0.01241686,-0.31648901,0.94851494,1.4301714044587568
