eye_tracker,participant_id,trial_number,frame,trial_condition,target_x,target_y,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,pup_diam_l,pup_diam_r,gaze_x,gaze_y
SMI ETG,914,1,490,dilated,640.9950561523438,371.9877624511719,424.59759521484375,288.70806884765625,865.2769165039062,278.745849609375,426.7469787597656,460.99755859375,867.1521606445312,458.0009765625,4.32,4.62,643.8690795898438,429.4500427246094
SMI ETG,914,1,491,dilated,640.9950561523438,371.9877624511719,424.5992431640625,289.7109069824219,865.2783813476562,277.74310302734375,426.7469787597656,461.9986267089844,866.1497802734375,458.0010070800781,4.32,4.62,643.5689697265625,427.7899475097656
SMI ETG,914,1,491,dilated,640.9950561523438,371.9877624511719,424.5992431640625,289.7109069824219,865.2783813476562,277.74310302734375,426.7469787597656,461.9986267089844,866.1497802734375,458.0010070800781,4.36,4.62,643.0890502929688,428.8099670410156
SMI ETG,914,1,492,dilated,640.9950561523438,371.9877624511719,425.6015319824219,288.709716796875,866.2814331054688,277.74163818359375,425.74365234375,460.99755859375,866.1497802734375,457.000244140625,4.36,4.74,644.2490234375,428.7699890136719
SMI ETG,914,1,493,dilated,640.9950561523438,371.9877624511719,423.59735107421875,287.7075500488281,864.2781372070312,276.7425842285156,425.7467346191406,459.9970397949219,865.1495361328125,457.00048828125,4.36,4.64,642.578857421875,428.49951171875
SMI ETG,914,1,494,dilated,640.9950561523438,371.9877624511719,425.6015319824219,288.709716796875,866.2814331054688,277.74163818359375,426.7469787597656,461.9986267089844,867.1521606445312,458.0009765625,4.38,4.66,644.089111328125,429.6500244140625
SMI ETG,914,1,495,dilated,640.9950561523438,371.9877624511719,424.6029968261719,289.71246337890625,865.28125,277.7415466308594,426.75006103515625,461.99853515625,866.1519775390625,458.0008850097656,4.38,4.7,641.9390258789062,432.6600341796875
SMI ETG,914,1,495,dilated,640.9950561523438,371.9877624511719,424.6029968261719,289.71246337890625,865.28125,277.7415466308594,426.75006103515625,461.99853515625,866.1519775390625,458.0008850097656,4.36,4.66,643.8191528320312,436.8301696777344
SMI ETG,914,1,496,dilated,640.9950561523438,371.9877624511719,425.6031799316406,289.7125549316406,866.2814331054688,277.74163818359375,426.7469787597656,461.9986267089844,868.154541015625,457.00018310546875,4.38,4.66,642.6593017578125,436.79022216796875
SMI ETG,914,1,497,dilated,640.9950561523438,371.9877624511719,425.6031799316406,289.7125549316406,866.2814331054688,277.74163818359375,427.7502136230469,459.9964904785156,867.1521606445312,458.0009765625,4.36,4.68,643.309326171875,436.3802185058594
SMI ETG,914,1,498,dilated,640.9950561523438,371.9877624511719,424.6031188964844,290.7129211425781,865.2813720703125,278.74200439453125,426.75018310546875,461.9979248046875,865.1497192382812,459.0013732910156,4.38,4.68,641.6091918945312,437.0405578613281
SMI ETG,914,1,498,dilated,640.9950561523438,371.9877624511719,424.6031188964844,290.7129211425781,865.2813720703125,278.74200439453125,426.75018310546875,461.9979248046875,865.1497192382812,459.0013732910156,4.38,4.64,641.4592895507812,437.060546875
SMI ETG,914,1,499,dilated,640.9950561523438,371.9877624511719,423.59906005859375,289.7108154296875,865.28125,277.7415466308594,426.75006103515625,461.99853515625,866.1519775390625,457.0001220703125,4.38,4.8,642.9290771484375,436.0301513671875
