timestamp	frame_idx	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_pos_vid_x	gaze_pos_vid_y	gaze_pos_3d_x	gaze_pos_3d_y	gaze_pos_3d_z
-869.52000000	0	-0.01950000	0.13760000	0.99030000	29.22000000	-25.22000000	-29.20000000	2.37000000	0.02400000	0.12350000	0.99210000	-30.13000000	-21.50000000	-26.44000000	2.57000000	981.12000000	418.71600000	2.36000000	140.62000000	1217.49000000
-859.49700000	0	-0.02030000	0.12930000	0.99140000	29.30000000	-25.03000000	-29.29000000	2.39000000	0.02610000	0.13140000	0.99100000	-30.10000000	-21.69000000	-26.51000000	2.51000000	980.35200000	418.60800000	3.28000000	142.74000000	1234.69000000
-849.50800000	0	-0.01710000	0.13780000	0.99030000	29.23000000	-25.22000000	-29.20000000	2.38000000	0.02400000	0.12220000	0.99220000	-30.12000000	-21.50000000	-26.43000000	2.57000000	979.58400000	418.93200000	3.99000000	143.81000000	1247.07000000
-839.51700000	0	-0.01890000	0.12830000	0.99160000	29.31000000	-25.03000000	-29.30000000	2.40000000	0.02710000	0.13030000	0.99110000	-30.09000000	-21.69000000	-26.51000000	2.50000000	978.81600000	419.68800000	4.86000000	143.33000000	1250.03000000
-829.52000000	0	-0.01450000	0.13750000	0.99040000	29.24000000	-25.22000000	-29.21000000	2.39000000	0.02410000	0.11990000	0.99250000	-30.11000000	-21.50000000	-26.43000000	2.56000000	978.04800000	420.22800000	5.81000000	144.22000000	1262.70000000
-819.52800000	0	-0.01760000	0.12820000	0.99160000	29.32000000	-25.04000000	-29.29000000	2.40000000	0.02820000	0.12870000	0.99130000	-30.08000000	-21.69000000	-26.51000000	2.51000000	977.47200000	420.55200000	6.51000000	143.17000000	1257.27000000
-809.54400000	0	-0.01210000	0.13790000	0.99040000	29.25000000	-25.22000000	-29.21000000	2.39000000	0.02400000	0.11820000	0.99270000	-30.10000000	-21.50000000	-26.43000000	2.56000000	976.70400000	420.98400000	7.30000000	143.24000000	1262.28000000
-799.54800000	0	-0.01620000	0.12830000	0.99160000	29.32000000	-25.04000000	-29.29000000	2.40000000	0.02940000	0.12730000	0.99140000	-30.07000000	-21.69000000	-26.51000000	2.50000000	975.93600000	421.30800000	8.20000000	143.33000000	1265.34000000
-789.55600000	0	-0.01060000	0.13830000	0.99030000	29.25000000	-25.22000000	-29.22000000	2.40000000	0.02470000	0.11730000	0.99280000	-30.09000000	-21.50000000	-26.43000000	2.56000000	975.36000000	421.63200000	8.58000000	140.17000000	1241.25000000
-779.56000000	0	-0.01620000	0.12830000	0.99160000	29.33000000	-25.04000000	-29.30000000	2.41000000	0.03020000	0.12680000	0.99150000	-30.06000000	-21.69000000	-26.51000000	2.50000000	975.36000000	421.95600000	8.55000000	140.03000000	1242.43000000
