eye_tracker,participant_id,condition,total_rows,nan_rows
EyeLink 1000 Plus,137,constricted,7503,0
EyeLink 1000 Plus,137,dilated,7503,0
EyeLink 1000 Plus,141,constricted,7503,0
EyeLink 1000 Plus,141,dilated,7503,0
EyeLink 1000 Plus,199,constricted,7503,0
EyeLink 1000 Plus,199,dilated,7503,0
EyeLink 1000 Plus,210,constricted,7503,0
EyeLink 1000 Plus,210,dilated,7503,0
EyeLink 1000 Plus,231,constricted,7503,0
EyeLink 1000 Plus,231,dilated,7503,0
EyeLink 1000 Plus,259,constricted,7503,0
EyeLink 1000 Plus,259,dilated,7503,0
EyeLink 1000 Plus,276,constricted,7503,84
EyeLink 1000 Plus,276,dilated,7503,0
EyeLink 1000 Plus,299,constricted,7503,125
EyeLink 1000 Plus,299,dilated,7503,63
EyeLink 1000 Plus,319,constricted,7503,0
EyeLink 1000 Plus,319,dilated,7503,0
EyeLink 1000 Plus,332,constricted,7503,0
EyeLink 1000 Plus,332,dilated,7503,0
EyeLink 1000 Plus,347,constricted,7503,0
EyeLink 1000 Plus,347,dilated,7503,0
EyeLink 1000 Plus,352,constricted,7503,0
EyeLink 1000 Plus,352,dilated,7503,0
EyeLink 1000 Plus,354,constricted,7503,6
EyeLink 1000 Plus,354,dilated,7503,0
EyeLink 1000 Plus,375,constricted,7503,45
EyeLink 1000 Plus,375,dilated,7503,0
EyeLink 1000 Plus,397,constricted,7503,0
EyeLink 1000 Plus,397,dilated,7503,0
EyeLink 1000 Plus,406,constricted,7503,0
EyeLink 1000 Plus,406,dilated,7503,0
EyeLink 1000 Plus,460,constricted,7503,13
EyeLink 1000 Plus,460,dilated,7503,0
EyeLink 1000 Plus,503,constricted,7503,0
EyeLink 1000 Plus,503,dilated,7503,0
EyeLink 1000 Plus,695,constricted,7503,0
EyeLink 1000 Plus,695,dilated,7503,0
EyeLink 1000 Plus,772,constricted,7503,0
EyeLink 1000 Plus,772,dilated,7503,0
EyeLink 1000 Plus,796,constricted,7503,0
EyeLink 1000 Plus,796,dilated,7503,0
EyeLink 1000 Plus,844,constricted,7503,12
EyeLink 1000 Plus,844,dilated,7503,71
EyeLink 1000 Plus,875,constricted,7503,0
EyeLink 1000 Plus,875,dilated,7503,0
EyeLink 1000 Plus,914,constricted,7503,0
EyeLink 1000 Plus,914,dilated,7503,0
