eye_tracker,participant_id,condition,total_rows,nan_rows,nan_percentage
Pupil Core,137,dilated,3630,130,3.581267217630854
Pupil Core,137,constricted,3623,137,3.7813966326248964
Pupil Core,141,dilated,3646,666,18.266593527153045
Pupil Core,141,constricted,3615,182,5.0345781466113415
Pupil Core,199,dilated,3616,336,9.29203539823009
Pupil Core,199,constricted,3603,249,6.9109075770191515
Pupil Core,210,dilated,3654,654,17.898193760262725
Pupil Core,210,constricted,3646,742,20.351069665386724
Pupil Core,231,dilated,3688,30,0.8134490238611713
Pupil Core,231,constricted,3687,5,0.13561160835367508
Pupil Core,259,dilated,3663,0,0.0
Pupil Core,259,constricted,3663,0,0.0
Pupil Core,276,dilated,3671,279,7.600108962135659
Pupil Core,276,constricted,3678,9,0.24469820554649263
Pupil Core,299,dilated,3630,0,0.0
Pupil Core,299,constricted,3639,89,2.4457268480351746
Pupil Core,319,dilated,3687,159,4.312449145646868
Pupil Core,319,constricted,3664,13,0.3548034934497817
Pupil Core,332,dilated,3663,614,16.76221676221676
Pupil Core,332,constricted,3688,0,0.0
Pupil Core,347,dilated,3673,273,7.432616389872039
Pupil Core,347,constricted,3657,265,7.246376811594203
Pupil Core,352,dilated,3687,986,26.742609167344728
Pupil Core,352,constricted,3697,0,0.0
Pupil Core,354,dilated,3621,754,20.822977078155205
Pupil Core,354,constricted,3631,536,14.761773616083723
Pupil Core,375,dilated,3696,13,0.35173160173160173
Pupil Core,375,constricted,3671,38,1.0351402887496595
Pupil Core,397,dilated,3663,55,1.5015015015015014
Pupil Core,397,constricted,3663,55,1.5015015015015014
Pupil Core,406,dilated,3663,0,0.0
Pupil Core,406,constricted,3648,84,2.302631578947368
Pupil Core,460,dilated,3660,18,0.49180327868852464
Pupil Core,460,constricted,3638,18,0.4947773501924134
Pupil Core,503,dilated,3688,1,0.027114967462039046
Pupil Core,503,constricted,3641,0,0.0
Pupil Core,695,dilated,3697,0,0.0
Pupil Core,695,constricted,3729,0,0.0
