eye_tracker,participant_id,trial_number,trial_condition,accuracy,n_samples
EyeLink 1000 Plus,137,1,dark,1.862881695078455,1784
EyeLink 1000 Plus,137,2,bright,0.12310616023382023,1872
EyeLink 1000 Plus,137,3,dark,1.4679816126997811,1875
EyeLink 1000 Plus,137,4,bright,0.145821356685981,1875
EyeLink 1000 Plus,137,5,dark,1.5524369301832959,1866
EyeLink 1000 Plus,137,6,bright,0.16020053124315822,1869
EyeLink 1000 Plus,141,1,dark,0.30835158258100936,1875
EyeLink 1000 Plus,141,2,bright,0.4311458593206286,1875
EyeLink 1000 Plus,141,3,dark,0.6424161243857476,1842
EyeLink 1000 Plus,141,4,bright,0.32136584518695166,1874
EyeLink 1000 Plus,141,5,dark,0.764535552370535,1875
EyeLink 1000 Plus,141,6,bright,0.33616716778817207,1875
EyeLink 1000 Plus,199,1,dark,1.1502725213311544,1875
EyeLink 1000 Plus,199,2,bright,0.2543680328358482,1875
EyeLink 1000 Plus,199,3,dark,0.9726504336343426,1875
EyeLink 1000 Plus,199,4,bright,0.20092655348048483,1875
EyeLink 1000 Plus,199,5,dark,1.0754269904784577,1853
EyeLink 1000 Plus,199,6,bright,0.15349551170153644,1875
EyeLink 1000 Plus,210,1,dark,0.4276251745770754,1875
EyeLink 1000 Plus,210,2,bright,0.3016347358113011,1875
EyeLink 1000 Plus,210,3,dark,0.4114354992086085,1875
EyeLink 1000 Plus,210,4,bright,0.37376730241755596,1874
EyeLink 1000 Plus,210,5,dark,0.7422138105461151,1875
EyeLink 1000 Plus,210,6,bright,0.2491888886427998,1871
EyeLink 1000 Plus,231,1,dark,1.0427112153780445,1875
EyeLink 1000 Plus,231,2,bright,0.29136333584512497,1829
EyeLink 1000 Plus,231,3,dark,1.0772607196188155,1781
EyeLink 1000 Plus,231,4,bright,0.39182257450121344,1875
EyeLink 1000 Plus,231,5,dark,1.0536775109167729,1871
EyeLink 1000 Plus,231,6,bright,0.4609989025518554,1864
EyeLink 1000 Plus,259,1,dark,0.3688496562660091,1834
EyeLink 1000 Plus,259,2,bright,0.1948739568209737,1870
EyeLink 1000 Plus,259,3,dark,0.3929896628217186,1875
EyeLink 1000 Plus,259,4,bright,0.22588589961400624,1870
EyeLink 1000 Plus,259,5,dark,0.5098630300561016,1814
EyeLink 1000 Plus,259,6,bright,0.23359721175888296,1793
