eye_tracker,participant_id,dark_trial,bright_trial,apparent_gaze_shift,bright_samples,dark_samples
EyeLink 1000 Plus,137,1,2,1.8273164344384938,1872,1784
EyeLink 1000 Plus,137,3,4,1.4388856838182238,1875,1875
EyeLink 1000 Plus,137,5,6,1.6695350197664487,1869,1866
EyeLink 1000 Plus,141,1,2,0.5566867039139478,1875,1875
EyeLink 1000 Plus,141,3,4,0.7644782117683613,1874,1842
EyeLink 1000 Plus,141,5,6,0.9271018479215721,1875,1875
EyeLink 1000 Plus,199,1,2,1.370050539328362,1875,1875
EyeLink 1000 Plus,199,3,4,1.101181767265911,1875,1875
EyeLink 1000 Plus,199,5,6,1.161302881958352,1875,1853
EyeLink 1000 Plus,210,1,2,0.712502590441617,1875,1875
EyeLink 1000 Plus,210,3,4,0.6910309527658611,1874,1875
EyeLink 1000 Plus,210,5,6,0.9586884810758153,1871,1875
EyeLink 1000 Plus,231,1,2,0.8586508868895759,1829,1875
EyeLink 1000 Plus,231,3,4,0.8896594701226839,1875,1781
EyeLink 1000 Plus,231,5,6,0.8671879905300542,1864,1871
EyeLink 1000 Plus,259,1,2,0.5395786819565164,1870,1834
EyeLink 1000 Plus,259,3,4,0.5319146698048427,1870,1875
EyeLink 1000 Plus,259,5,6,0.6761513458632731,1793,1814
EyeLink 1000 Plus,276,1,2,1.1573012351555716,1808,1781
EyeLink 1000 Plus,276,3,4,1.3495418904955843,1853,1869
EyeLink 1000 Plus,276,5,6,0.9778399850052754,1862,1870
EyeLink 1000 Plus,299,1,2,1.0316666963632957,1816,1755
EyeLink 1000 Plus,299,3,4,0.8222661298416251,1796,1875
EyeLink 1000 Plus,299,5,6,1.175944298913471,1781,1868
EyeLink 1000 Plus,319,1,2,0.5132191356487802,1862,1871
EyeLink 1000 Plus,319,3,4,2.9968911813738393,1870,1855
EyeLink 1000 Plus,319,5,6,3.220689899179818,1868,1875
EyeLink 1000 Plus,332,1,2,1.3992300761956658,1868,1875
EyeLink 1000 Plus,332,3,4,1.2964123591614665,1805,1875
EyeLink 1000 Plus,332,5,6,1.2448776664987962,1875,1875
EyeLink 1000 Plus,347,1,2,0.2941312407985559,1875,1866
EyeLink 1000 Plus,347,3,4,0.4488058354721867,1875,1875
EyeLink 1000 Plus,347,5,6,0.39782796169760204,1804,1875
EyeLink 1000 Plus,352,1,2,0.9293644148266589,1875,1848
EyeLink 1000 Plus,352,3,4,0.7199605180370889,1875,1875
EyeLink 1000 Plus,352,5,6,0.4887877075471209,1875,1871
EyeLink 1000 Plus,354,1,2,0.5534117422814439,1848,1875
EyeLink 1000 Plus,354,3,4,0.6059102276172932,1871,1875
EyeLink 1000 Plus,354,5,6,0.29672654296219736,1875,1863
EyeLink 1000 Plus,375,1,2,1.679002540062037,1846,1875
EyeLink 1000 Plus,375,3,4,1.2192974968457035,1875,1873
EyeLink 1000 Plus,375,5,6,1.021035849706698,1875,1875
EyeLink 1000 Plus,397,1,2,0.38486664827274286,1875,1875
EyeLink 1000 Plus,397,3,4,0.6852226468192253,1875,1824
EyeLink 1000 Plus,397,5,6,0.5627566142763143,1875,1875
EyeLink 1000 Plus,406,1,2,1.3421104650611415,1875,1875
EyeLink 1000 Plus,406,3,4,1.1303297189679786,1875,1875
EyeLink 1000 Plus,406,5,6,0.7981152910831006,1875,1875
EyeLink 1000 Plus,460,1,2,0.7299418852480735,1864,1869
EyeLink 1000 Plus,460,3,4,0.8262139577329255,1787,1829
EyeLink 1000 Plus,460,5,6,0.7054970008311883,1875,1875
EyeLink 1000 Plus,503,1,2,1.2272853191838942,1865,1850
EyeLink 1000 Plus,503,3,4,0.7973366193539456,1849,1852
EyeLink 1000 Plus,503,5,6,0.49169508634748765,1843,1858
EyeLink 1000 Plus,695,1,2,1.335486952391495,1875,1875
EyeLink 1000 Plus,695,3,4,1.0979304990746486,1875,1839
EyeLink 1000 Plus,695,5,6,1.2311040529200967,1867,1873
EyeLink 1000 Plus,772,1,2,0.18748122508715648,1875,1868
EyeLink 1000 Plus,772,3,4,0.4495425429089223,1872,1869
EyeLink 1000 Plus,772,5,6,0.4939549218784954,1875,1870
EyeLink 1000 Plus,796,1,2,0.8575902182635696,1875,1875
EyeLink 1000 Plus,796,3,4,1.2333334460414185,1875,1875
EyeLink 1000 Plus,796,5,6,0.8315949352435035,1803,1822
EyeLink 1000 Plus,844,1,2,0.5976095104588833,1843,1819
EyeLink 1000 Plus,844,3,4,0.5794816032123541,1788,1803
EyeLink 1000 Plus,844,5,6,0.65981322886486,1782,1742
EyeLink 1000 Plus,875,1,2,0.8018592165141282,1870,1862
EyeLink 1000 Plus,875,3,4,0.8073819755401516,1870,1866
EyeLink 1000 Plus,875,5,6,0.7088331340880374,1826,1835
EyeLink 1000 Plus,914,1,2,1.2603509316149664,1857,1846
EyeLink 1000 Plus,914,3,4,1.174217066381286,1856,1863
EyeLink 1000 Plus,914,5,6,0.8603526450558788,1863,1861
Pupil Core,137,1,2,2.798197990251025,823,825
Pupil Core,137,3,4,3.5332029877260944,889,847
