eye_tracker,participant_id,trial_number,trial_condition,rms_s2s,n_samples
EyeLink 1000 Plus,137,1,dark,0.007942974716495922,1784
EyeLink 1000 Plus,137,2,bright,0.005209257930913783,1872
EyeLink 1000 Plus,137,3,dark,0.006350457032999918,1875
EyeLink 1000 Plus,137,4,bright,0.006971195588733023,1875
EyeLink 1000 Plus,137,5,dark,0.010589679391514662,1866
EyeLink 1000 Plus,137,6,bright,0.006729855359649109,1869
EyeLink 1000 Plus,141,1,dark,0.025569362753507508,1875
EyeLink 1000 Plus,141,2,bright,0.007657336885558175,1875
EyeLink 1000 Plus,141,3,dark,0.0602105091985039,1842
EyeLink 1000 Plus,141,4,bright,0.008573622654949115,1874
EyeLink 1000 Plus,141,5,dark,0.00981623871956081,1875
EyeLink 1000 Plus,141,6,bright,0.010229877979839952,1875
EyeLink 1000 Plus,199,1,dark,0.0059166071885967,1875
EyeLink 1000 Plus,199,2,bright,0.005024486364713617,1875
EyeLink 1000 Plus,199,3,dark,0.006352387402161715,1875
EyeLink 1000 Plus,199,4,bright,0.005401017580023376,1875
EyeLink 1000 Plus,199,5,dark,0.005687291840101287,1853
EyeLink 1000 Plus,199,6,bright,0.0058668471648453254,1875
EyeLink 1000 Plus,210,1,dark,0.004208909899336037,1875
EyeLink 1000 Plus,210,2,bright,0.003416460113249047,1875
EyeLink 1000 Plus,210,3,dark,0.005373042277520179,1875
EyeLink 1000 Plus,210,4,bright,0.005783714470448145,1874
EyeLink 1000 Plus,210,5,dark,0.004464374766170844,1875
EyeLink 1000 Plus,210,6,bright,0.0035674183538435627,1871
EyeLink 1000 Plus,231,1,dark,0.0027979656968539087,1875
EyeLink 1000 Plus,231,2,bright,0.03566163216810279,1829
EyeLink 1000 Plus,231,3,dark,0.004658196906153664,1781
EyeLink 1000 Plus,231,4,bright,0.003840427237848635,1875
EyeLink 1000 Plus,231,5,dark,0.0039867202312912275,1871
EyeLink 1000 Plus,231,6,bright,0.007954027776497941,1864
EyeLink 1000 Plus,259,1,dark,0.008933398779679776,1834
EyeLink 1000 Plus,259,2,bright,0.002399348611582688,1870
EyeLink 1000 Plus,259,3,dark,0.007672397785458045,1875
EyeLink 1000 Plus,259,4,bright,0.0063866795242900325,1870
EyeLink 1000 Plus,259,5,dark,0.004904720388675085,1814
EyeLink 1000 Plus,259,6,bright,0.007137298011448631,1793
EyeLink 1000 Plus,276,1,dark,0.05718020658415583,1781
EyeLink 1000 Plus,276,2,bright,0.01575206638911645,1808
EyeLink 1000 Plus,276,3,dark,0.02000190502956473,1869
EyeLink 1000 Plus,276,4,bright,0.010103527874398773,1853
EyeLink 1000 Plus,276,5,dark,0.02500685536186178,1870
EyeLink 1000 Plus,276,6,bright,0.011070831380494387,1862
EyeLink 1000 Plus,299,1,dark,0.028531121533286758,1755
EyeLink 1000 Plus,299,2,bright,0.010137558711904724,1816
EyeLink 1000 Plus,299,3,dark,0.008163929145063132,1875
EyeLink 1000 Plus,299,4,bright,0.03841230361944476,1796
EyeLink 1000 Plus,299,5,dark,0.015905420956821268,1868
EyeLink 1000 Plus,299,6,bright,0.03541995314708935,1781
EyeLink 1000 Plus,319,1,dark,0.007011235561568487,1871
EyeLink 1000 Plus,319,2,bright,0.008945829618851795,1862
EyeLink 1000 Plus,319,3,dark,0.02056865286099326,1855
EyeLink 1000 Plus,319,4,bright,0.007259379478030452,1870
EyeLink 1000 Plus,319,5,dark,0.0230593583510978,1875
EyeLink 1000 Plus,319,6,bright,0.008349846380032121,1868
EyeLink 1000 Plus,332,1,dark,0.0051700947403494155,1875
EyeLink 1000 Plus,332,2,bright,0.006072466391069843,1868
