eye_tracker,participant_id,trial_number,trial_condition,std,n_samples
EyeLink 1000 Plus,137,1,dark,0.06228432662280552,1784
EyeLink 1000 Plus,137,2,bright,0.09220891954640821,1872
EyeLink 1000 Plus,137,3,dark,0.1677475409112458,1875
EyeLink 1000 Plus,137,4,bright,0.05267848004847754,1875
EyeLink 1000 Plus,137,5,dark,0.16231761925950278,1866
EyeLink 1000 Plus,137,6,bright,0.07232094329185375,1869
EyeLink 1000 Plus,141,1,dark,0.06690495689511208,1875
EyeLink 1000 Plus,141,2,bright,0.08385147042936511,1875
EyeLink 1000 Plus,141,3,dark,0.13115989168841422,1842
EyeLink 1000 Plus,141,4,bright,0.05710439071218806,1874
EyeLink 1000 Plus,141,5,dark,0.1138584085947293,1875
EyeLink 1000 Plus,141,6,bright,0.05788422512340052,1875
EyeLink 1000 Plus,199,1,dark,0.10079365429921176,1875
EyeLink 1000 Plus,199,2,bright,0.10223022000585692,1875
EyeLink 1000 Plus,199,3,dark,0.06964286995984426,1875
EyeLink 1000 Plus,199,4,bright,0.051836553733528794,1875
EyeLink 1000 Plus,199,5,dark,0.04934886820123197,1853
EyeLink 1000 Plus,199,6,bright,0.0844788503106524,1875
EyeLink 1000 Plus,210,1,dark,0.0695049201822933,1875
EyeLink 1000 Plus,210,2,bright,0.10672771513764186,1875
EyeLink 1000 Plus,210,3,dark,0.07871195157552392,1875
EyeLink 1000 Plus,210,4,bright,0.10411866169767178,1874
EyeLink 1000 Plus,210,5,dark,0.15812722671362547,1875
EyeLink 1000 Plus,210,6,bright,0.09539880725088354,1871
EyeLink 1000 Plus,231,1,dark,0.14278197274274784,1875
EyeLink 1000 Plus,231,2,bright,0.13693688395739478,1829
EyeLink 1000 Plus,231,3,dark,0.12157450464249386,1781
EyeLink 1000 Plus,231,4,bright,0.05123640769237096,1875
EyeLink 1000 Plus,231,5,dark,0.06827522806782657,1871
EyeLink 1000 Plus,231,6,bright,0.17106377249558455,1864
EyeLink 1000 Plus,259,1,dark,0.11926318220346423,1834
EyeLink 1000 Plus,259,2,bright,0.11271185837811976,1870
